x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
0.000000,0.000000,0.000000,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31
-0.044664,-0.066996,0.000002,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19200
-0.044664,-0.066996,0.000008,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000015,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.000025,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000036,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000049,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000064,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.000080,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000098,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000117,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000139,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.000162,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000187,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000214,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000242,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.000272,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000303,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000336,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000371,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.000409,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000448,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000488,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000529,6,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000572,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000617,-6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.000664,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000714,6,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000764,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000816,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000868,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000908,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000954,6,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000959,-6,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.000958,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001005,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001017,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001062,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001073,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001085,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001113,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001117,12,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001120,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001169,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001180,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001191,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001218,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001203,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001212,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001252,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001262,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001262,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001264,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001260,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001288,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001298,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001276,0,6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20001
-0.044664,-0.073479,0.001259,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001222,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001241,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001289,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19999
-0.044664,-0.073479,0.001288,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20001
-0.044664,-0.073479,0.001269,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001229,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001222,6,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001240,6,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
-0.044664,-0.073479,0.001271,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20001
-0.044664,-0.073479,0.001289,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19997
-0.044664,-0.073479,0.001292,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19998
-0.044664,-0.073479,0.001259,0,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20000
