x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
65.798325,-105.027161,-4.160847,10071,10453,317.200012,459.200012,15860.793945,22961.148438,45.962315,60.261551,19999
67.035316,-106.260315,-4.177247,9930,10490,320.600006,455.000000,16030.000000,22750.000000,47.033092,59.582153,20000
68.414284,-107.432205,-4.192152,10336,10515,366.000000,451.799988,18301.830078,22592.257812,51.342678,59.302658,19998
69.753311,-108.626122,-4.204765,10410,10607,352.200012,446.399994,17611.761719,22322.232422,48.880325,58.151421,19998
71.392319,-109.870880,-4.215305,10552,10675,401.600006,453.799988,20080.000000,22690.000000,54.732685,58.701813,20000
72.994209,-110.974579,-4.225559,10614,10737,393.000000,468.200012,19650.982422,23411.171875,53.077477,60.119545,19999
74.619888,-112.155487,-4.233696,10669,10749,435.399994,464.000000,21762.382812,23191.882812,58.184273,59.418430,20007
76.271477,-113.304810,-4.240049,7207,11149,336.799988,471.799988,16847.580078,23600.619141,67.477638,57.751415,19991
77.963104,-114.412804,-4.246713,8957,11026,431.200012,490.799988,21555.689453,24535.091797,66.483406,60.457905,20004
79.606064,-115.448662,-4.253250,7219,11266,394.799988,485.000000,19740.986328,24251.212891,72.535995,58.343037,19999
81.515717,-116.523033,-4.260919,2538,11408,228.800003,487.600006,11443.433594,24387.316406,100.000000,57.892250,19994
83.348663,-117.501648,-4.268995,862,11427,101.599998,502.000000,5078.983887,25094.980469,100.000000,59.873585,20004
85.161331,-118.430260,-4.280215,1762,11414,178.800003,500.799988,8942.682617,25047.513672,0.000000,59.729877,19994
86.855972,-119.313782,-4.298629,2310,11420,196.600006,493.600006,9830.492188,24681.234375,0.000000,58.740402,19999
88.462318,-120.054543,-4.323295,2415,11439,188.199997,502.000000,9410.000000,25100.000000,0.000000,59.683052,20000
89.935844,-120.780190,-4.353880,3333,11451,271.000000,500.200012,13551.355469,25012.501953,0.000000,59.331429,19998
91.505257,-121.675278,-4.388644,4072,11494,299.000000,517.599976,14950.747070,25881.292969,0.000000,61.230267,19999
92.899170,-122.614944,-4.425187,3967,11550,287.200012,523.400024,14360.718750,26171.310547,0.000000,60.937641,19999
94.307228,-123.470757,-4.462471,3474,11562,250.000000,507.000000,12501.250000,25352.535156,0.000000,58.163292,19998
95.669167,-124.309441,-4.500160,3080,11501,224.600006,518.599976,11230.000000,25929.998047,0.000000,59.726585,20000
97.080429,-125.122383,-4.540286,2649,11464,194.800003,510.200012,9740.487305,25511.275391,0.000000,59.741627,19999
98.464027,-125.864159,-4.580811,2027,11457,147.199997,511.000000,7360.367676,25551.277344,0.000000,60.500252,19999
99.801979,-126.575935,-4.621193,1435,11482,120.400002,492.200012,6020.301270,24611.230469,0.000000,58.358891,19999
101.154846,-127.251663,-4.662668,1023,11476,97.199997,506.399994,4860.242676,25321.265625,0.000000,60.101856,19999
102.673088,-127.826668,-4.703811,807,11457,76.400002,515.799988,3820.191162,25791.289062,0.000000,61.362164,19999
104.088455,-128.394867,-4.746908,869,11439,83.199997,508.000000,4160.208008,25401.269531,0.000000,60.439247,19999
105.476227,-128.902924,-4.791851,1318,11439,118.400002,496.600006,5920.295898,24831.242188,0.000000,59.171162,19999
106.804176,-129.411118,-4.838813,1361,11445,117.000000,504.399994,5850.292480,25221.261719,0.000000,60.117832,19999
108.154388,-130.025421,-4.886105,1109,11470,105.199997,525.200012,5258.948242,26254.750000,0.000000,62.443325,20004
109.368324,-130.623871,-4.934453,3622,11371,116.400002,517.599976,5820.582031,25882.587891,32.453304,62.064575,19998
110.727417,-131.228958,-4.985214,6955,11162,314.399994,487.799988,15723.930664,24396.097656,58.091862,59.305786,19995
112.046951,-131.829254,-5.035652,9677,10761,271.600006,463.000000,13580.679688,23151.158203,39.010082,58.527798,19999
113.411674,-132.265076,-5.082944,10188,10577,319.200012,463.200012,15960.798828,23161.158203,45.059372,59.632786,19999
114.935616,-132.703247,-5.125388,9930,10453,297.200012,452.399994,14860.743164,22621.130859,43.744030,59.276562,19999
116.438766,-132.974792,-5.167981,10293,10515,336.600006,441.799988,16830.841797,22091.103516,47.568401,57.589848,19999
117.959442,-133.112900,-5.207730,10306,10521,337.600006,463.600006,16880.843750,23181.160156,47.555050,60.592556,19999
119.508362,-133.203186,-5.238781,10176,10423,275.799988,435.200012,13790.688477,21761.087891,39.366276,57.575390,19999
121.058815,-133.126480,-5.263282,9573,10342,274.200012,428.600006,13710.000977,21430.000000,41.896828,57.171803,20000
122.729401,-132.923874,-5.288468,10078,10404,311.000000,459.600006,15551.554688,22982.298828,45.044685,60.990555,19998
124.453186,-132.649094,-5.311355,10139,10441,306.399994,445.200012,15320.765625,22261.113281,44.015144,58.851841,19999
126.207558,-132.205963,-5.331010,10195,10453,320.600006,451.399994,16030.801758,22571.128906,45.763981,59.490822,19999
127.993073,-131.624405,-5.345070,10336,10515,342.399994,464.399994,17120.855469,23221.160156,48.090088,60.893349,19999
129.678406,-131.016815,-5.356852,10386,10583,367.200012,439.200012,18359.082031,21958.902344,51.227493,57.116085,20001
131.394470,-130.172546,-5.367409,10466,10626,390.000000,451.200012,19502.925781,22563.384766,53.727680,58.437885,19997
133.135681,-129.161102,-5.377539,10496,10644,394.000000,445.200012,19700.984375,22261.113281,53.946625,57.638367,19999
134.858810,-128.231384,-5.385264,10638,10681,420.600006,452.000000,21030.000000,22600.000000,56.441700,58.407944,20000
136.604996,-127.331314,-5.391735,10650,10718,429.600006,455.799988,21482.148438,22792.279297,57.409100,58.794483,19998
138.586487,-126.285027,-5.396398,10718,10792,419.600006,478.399994,20977.902344,23917.607422,55.358395,61.199345,20002
140.459198,-125.256859,-5.401597,10786,10866,464.799988,504.200012,23233.029297,25202.439453,60.886440,63.669518,20006
142.355270,-124.211441,-5.404688,7558,9492,351.799988,470.000000,17591.757812,23502.349609,66.351402,68.037621,19998
144.231750,-123.042839,-5.407449,6628,8870,394.000000,470.200012,19700.000000,23510.000000,81.971535,70.914047,20000
146.059708,-121.882385,-5.410166,1731,3739,224.800003,309.799988,11242.249023,15493.097656,100.000000,100.000000,19996
147.836029,-120.806656,-5.413466,-18,49,72.000000,67.000000,3601.981201,3351.843506,100.000000,100.000000,19989
149.564011,-119.697319,-5.417046,1626,1645,158.399994,172.000000,7915.250488,8594.842773,100.000000,100.000000,20012
150.987350,-118.839806,-5.419234,-1010,1540,141.600006,333.799988,7083.896484,16699.183594,100.000000,100.000000,19989
152.081375,-118.102943,-5.420625,-5070,-2667,93.599998,109.400002,4680.000000,5470.000000,26.554068,60.849339,20000
152.986435,-117.475121,-5.422385,-6018,-5858,93.599998,0.000000,4680.467773,0.000000,22.958134,0.000000,19998
153.504639,-117.029198,-5.422944,-5821,-5975,92.400002,0.000000,4620.230957,0.000000,23.647802,0.000000,19999
153.696655,-116.863609,-5.424004,-5883,-6037,75.000000,0.000000,3750.000000,0.000000,18.995775,0.000000,20000
153.721619,-116.892509,-5.424696,-5877,-6074,75.000000,-12.400000,3750.187500,-620.031006,19.010626,3.038162,19999
153.467560,-117.111923,-5.424754,-6456,-6197,-60.200001,-37.599998,-3009.398193,-1879.624023,13.840424,9.022159,20004
153.236176,-117.328957,-5.424907,-4509,-6874,-84.800003,-78.000000,-4240.424316,-3900.390137,28.146032,16.810375,19998
152.851196,-117.696495,-5.427227,-6560,-8180,-170.000000,-210.800003,-8502.125977,-10542.635742,38.073189,37.820427,19995
152.385513,-118.128242,-5.425383,-8236,-9258,-211.399994,-240.600006,-10567.885742,-12027.594727,37.168518,37.960163,20004
151.754028,-118.743515,-5.420032,-4176,-9080,-126.800003,-221.600006,-6340.317383,-11080.554688,45.366005,35.730270,19999
151.063934,-119.329834,-5.416670,-4990,-9061,-172.600006,-222.800003,-8630.000000,-11140.000000,51.077988,36.012672,20000
150.345627,-120.012390,-5.411049,-4552,-9899,-204.399994,-275.000000,-10221.021484,-13751.375000,65.352325,40.496025,19998
149.619492,-120.672394,-5.403237,-2624,-10053,-135.800003,-310.600006,-6792.037598,-15534.661133,75.671356,44.975357,19994
148.858856,-121.323143,-5.392453,-1675,-9813,-92.199997,-304.600006,-4608.847656,-15226.193359,79.489182,45.233559,20005
147.954330,-121.972755,-5.379421,-1053,-10318,-85.000000,-306.600006,-4251.275391,-15334.600586,100.000000,43.193317,19994
147.036331,-122.638695,-5.362492,-807,-10527,-76.400002,-347.200012,-3820.382080,-17361.736328,100.000000,47.847034,19998
146.113846,-123.238998,-5.340850,-856,-10731,-78.599998,-355.200012,-3930.196533,-17760.888672,84.378693,47.979858,19999
145.209381,-123.738075,-5.315134,-1583,-10792,-142.000000,-382.000000,-7100.354980,-19100.955078,0.000000,51.194538,19999
144.275162,-124.297096,-5.282654,-1805,-10841,-143.600006,-375.799988,-7180.000488,-18790.000000,0.000000,50.108658,20000
143.368851,-124.868484,-5.244556,-1478,-10977,-124.199997,-404.600006,-6210.310547,-20231.011719,0.000000,53.080898,19999
142.450134,-125.444557,-5.206458,-1146,-11057,-104.400002,-428.399994,-5220.521973,-21422.142578,0.000000,55.516979,19998
141.555008,-125.994011,-5.167994,-942,-11063,-91.400002,-406.399994,-4570.000000,-20320.000000,0.000000,52.341984,20000
140.632751,-126.477821,-5.128868,-801,-11119,-77.599998,-447.799988,-3880.193848,-22391.119141,0.000000,57.203392,19999
139.643280,-126.961914,-5.088507,-727,-11094,-66.199997,-431.399994,-3310.165283,-21571.078125,0.000000,55.266354,19999
138.743225,-127.378578,-5.046824,-715,-11094,-50.799999,-426.600006,-2540.126953,-21331.066406,0.000000,54.604321,19999
137.737213,-127.844093,-5.003582,-579,-11125,-43.400002,-433.799988,-2170.108643,-21691.083984,0.000000,55.382675,19999
136.802139,-128.348236,-4.961363,-511,-11211,-35.400002,-458.600006,-1770.088623,-22931.146484,0.000000,57.898224,19999
135.916046,-128.854111,-4.916606,-431,-11193,-32.599998,-446.600006,-1630.081421,-22331.117188,0.000000,56.306465,19999
135.040497,-129.344345,-4.864414,-357,-11223,-26.799999,-462.000000,-1340.067017,-23101.154297,0.000000,57.905754,19999
134.190063,-129.799408,-4.811703,-197,-11217,-23.200001,-445.000000,-1159.536255,-22241.103516,0.000000,55.867283,20008
133.293747,-130.162903,-4.758180,1084,-7669,-23.200001,-358.000000,-1160.232056,-17903.580078,29.008303,67.205933,19996
132.432739,-130.475906,-4.703341,4269,-6363,170.399994,-372.600006,8524.261719,-18639.320312,55.417839,83.523903,19990
131.704086,-130.769730,-4.647292,228,-4959,18.000000,-311.600006,900.044983,-15580.779297,100.000000,87.929199,19999
131.030487,-131.026016,-4.589573,-203,-3739,-0.000000,-238.199997,0.000000,-11909.404297,0.000000,80.008224,20001
130.364899,-131.314163,-4.532655,-136,-3006,-17.200001,-217.399994,-859.613220,-10865.110352,100.000000,65.094299,20009
129.755310,-131.548355,-4.477957,973,-2772,-17.200001,-206.800003,-860.043030,-10340.517578,20.832863,0.000000,19999
129.253952,-131.794617,-4.429288,4022,-5821,119.400002,-331.000000,5972.986328,-16558.279297,39.171349,34.546333,19990
128.848358,-132.031357,-4.386605,9443,-10195,398.200012,-530.599976,19910.996094,-26531.326172,57.732327,62.095505,19999
128.449646,-132.305145,-4.346732,10306,-10798,285.600006,-544.000000,14278.572266,-27197.279297,39.847359,64.086647,20002
128.062683,-132.607239,-4.298162,8796,-10447,205.000000,-440.399994,10252.050781,-22024.404297,34.176376,54.988823,19996
127.805557,-132.979019,-4.240720,8858,-9807,198.000000,-238.399994,9900.990234,-11921.191406,32.854252,33.742844,19998
127.641418,-133.258713,-4.178451,9394,-9800,278.200012,-284.200012,13910.000977,-14210.000977,43.299564,41.900040,20000
127.611565,-133.576813,-4.114820,9449,-9930,299.399994,-331.000000,14970.748047,-16550.828125,46.314293,48.644913,19999
127.449715,-133.716614,-4.046628,9899,-9948,323.200012,-314.600006,16160.808594,-15730.787109,47.482185,46.020222,19999
127.507767,-134.027603,-3.974365,9924,-9930,304.799988,-298.600006,15240.761719,-14930.747070,44.613575,43.690990,19999
127.432625,-134.378067,-3.898983,10053,-10041,350.600006,-338.399994,17530.876953,-16920.845703,50.576351,48.934799,19999
127.393196,-134.778748,-3.821244,10207,-10182,374.000000,-350.600006,18700.000000,-17530.000000,52.932781,49.901745,20000
127.375809,-135.231491,-3.741125,10275,-10232,394.799988,-339.799988,19741.972656,-16991.699219,55.188091,47.977184,19998
127.352852,-135.614319,-3.656558,10318,-10250,398.399994,-326.600006,19920.996094,-16330.816406,55.162064,46.030018,19999
127.383385,-136.110596,-3.568486,10318,-10250,427.200012,-353.600006,21360.000000,-17680.000000,58.967789,49.906723,20000
127.268234,-136.561050,-3.478576,10361,-10275,408.399994,-346.799988,20422.041016,-17341.734375,55.894180,48.840565,19998
127.252625,-137.131424,-3.388412,10447,-10361,432.600006,-359.000000,21630.000000,-17950.000000,58.533947,50.021637,20000
127.292587,-137.631851,-3.296208,10484,-10361,445.799988,-356.600006,22292.228516,-17831.783203,59.805096,49.685783,19998
127.163872,-138.161804,-3.200519,10564,-10398,475.600006,-371.600006,23781.189453,-18580.929688,62.941967,51.523121,19999
126.968216,-138.732498,-3.102940,10601,-10453,460.799988,-373.799988,23040.000000,-18690.000000,60.524544,51.531414,20000
126.895195,-139.206284,-3.003085,10638,-10429,485.799988,-367.399994,24291.214844,-18370.917969,63.146667,50.724701,19999
126.674934,-139.773300,-2.901348,10632,-10441,478.600006,-366.600006,23932.392578,-18331.833984,62.172745,50.611496,19998
126.636253,-140.364075,-2.799197,10663,-10496,472.799988,-386.200012,23641.181641,-19310.966797,60.898571,52.988815,19999
126.369843,-140.881073,-2.696066,10687,-10496,489.200012,-362.399994,24461.224609,-18120.906250,62.782280,49.673222,19999
126.084908,-141.394318,-2.591466,10718,-10595,508.600006,-388.200012,25417.291016,-19400.300781,64.979698,52.609451,20010
