time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
4125378,-0.000003,-0.000849,0.001362,0,0,-361,-358,0.000000,0.000000,-nan,-nan
4134953,-0.000002,-0.000517,0.001318,0,0,-361,-358,0.000000,0.000000,-nan,-nan
4144951,-0.000002,-0.000592,0.001328,0,0,-361,-358,0.000000,0.000000,-nan,-nan
4154951,-0.000002,-0.000511,0.001318,0,0,-361,-358,0.000000,-11.933333,-nan,-nan
4164951,-0.000003,-0.000752,0.001349,0,0,-361,-358,-8.000000,-30.066667,-nan,-nan
4174951,-0.000005,-0.001242,0.001414,0,0,-361,-358,-24.933333,-19.066667,-nan,-nan
4184951,-0.000012,-0.003255,0.001679,0,0,-361,-358,-74.600000,-30.800000,-nan,-nan
4194951,-0.000033,-0.007981,0.002301,0,0,-361,-358,-98.200000,-52.666667,-nan,-nan
4204951,-0.000063,-0.013907,0.003081,0,0,-365,-354,-99.533333,-52.066667,-nan,-nan
4214951,-0.000219,-0.056733,0.003693,0,0,-365,-354,-93.733333,-73.000000,-nan,-nan
4224952,-0.000237,-0.059537,0.004062,0,0,-368,-351,-103.533333,-102.533333,-nan,-nan
4234952,-0.001526,-0.376581,0.004072,0,0,-368,-351,-108.133333,-101.400000,-nan,-nan
4244952,-0.001517,-0.375160,0.003885,0,0,-366,-353,-114.733333,-80.400000,-nan,-nan
4254951,-0.003262,-0.870018,0.003215,0,0,-366,-353,-114.333333,-87.800000,-nan,-nan
4264952,-0.003216,-0.860854,0.002009,0,0,-361,-358,-138.000000,-127.266667,-nan,-nan
4274952,-0.003931,-1.463543,0.000456,0,0,-361,-358,-165.800000,-137.400000,-nan,-nan
4284952,-0.003905,-1.449552,-0.001386,0,0,-352,-367,-178.933333,-149.866667,-nan,-nan
4294952,-0.002127,-2.187537,-0.003336,0,0,-352,-367,-193.133333,-145.466667,-nan,-nan
4304952,-0.002161,-2.171125,-0.005497,0,0,-344,-375,-189.466667,-154.666667,-nan,-nan
