time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
3966060,-0.000005,-0.001320,0.001362,0,0,-360,-359,0.000000,0.000000,-nan,-nan
3975900,-0.000005,-0.001483,0.001384,0,0,-360,-359,0.000000,0.000000,-nan,-nan
3985899,-0.000006,-0.001714,0.001414,0,0,-360,-359,0.000000,0.000000,-nan,-nan
3995899,-0.000006,-0.001529,0.001390,0,0,-360,-359,-5.533333,-19.133333,-nan,-nan
4005899,-0.000006,-0.001748,0.001419,0,0,-360,-359,-21.066667,-16.066667,-nan,-nan
4015899,-0.000007,-0.001849,0.001432,0,0,-360,-359,-25.733333,-19.466667,-nan,-nan
4025899,-0.000010,-0.002720,0.001547,0,0,-360,-359,-75.400000,-46.600000,-nan,-nan
4035899,-0.000025,-0.006312,0.002020,0,0,-360,-359,-92.400000,-70.666667,-nan,-nan
4045899,-0.000037,-0.009023,0.002377,0,0,-361,-358,-82.400000,-87.400000,-nan,-nan
4055899,-0.000035,-0.008471,0.002304,0,0,-361,-358,-69.133333,-93.000000,-nan,-nan
4065899,-0.000035,-0.008482,0.002305,0,0,-361,-358,-71.666667,-109.266667,-nan,-nan
4075899,-0.000589,-0.243311,0.002398,0,0,-361,-358,-67.333333,-99.133333,-nan,-nan
4085899,-0.000602,-0.245898,0.002739,0,0,-361,-358,-56.533333,-76.333333,-nan,-nan
4095899,-0.001669,-0.603684,0.003181,0,0,-361,-358,-44.800000,-42.133333,-nan,-nan
4105899,-0.001680,-0.605684,0.003444,0,0,-362,-357,-34.466667,-38.000000,-nan,-nan
4115899,-0.002736,-0.893932,0.003836,0,0,-362,-357,-61.133333,-58.666667,-nan,-nan
4125899,-0.002760,-0.897564,0.004314,0,0,-362,-357,-94.733333,-85.800000,-nan,-nan
4135899,-0.004408,-1.255922,0.004832,0,0,-362,-357,-99.600000,-99.000000,-nan,-nan
4145899,-0.004429,-1.258737,0.005203,0,0,-363,-356,-92.133333,-109.200000,-nan,-nan
4155899,-0.007071,-1.759701,0.005337,0,0,-363,-356,-95.866667,-107.400000,-nan,-nan
4165900,-0.007088,-1.761813,0.005616,0,0,-363,-356,-97.133333,-100.333333,-nan,-nan
4175899,-0.010116,-2.283843,0.005963,0,0,-363,-356,-96.133333,-98.533333,-nan,-nan
4185899,-0.010121,-2.284374,0.006033,0,0,-364,-355,-94.866667,-104.000000,-nan,-nan
4195900,-0.013141,-2.789956,0.005923,0,0,-364,-355,-107.400000,-112.466667,-nan,-nan
4205900,-0.013140,-2.789798,0.005902,0,0,-363,-356,-122.800000,-115.600000,-nan,-nan
4215900,-0.016032,-3.282747,0.005835,0,0,-363,-356,-125.800000,-112.200000,-nan,-nan
4225900,-0.016036,-3.283339,0.005913,0,0,-363,-356,-137.266667,-120.400000,-nan,-nan
4235900,-0.019860,-3.923846,0.006021,0,0,-363,-356,-145.866667,-137.200000,-nan,-nan
4245900,-0.019840,-3.921413,0.005700,0,0,-363,-356,-149.000000,-147.133333,-nan,-nan
4255900,-0.023847,-4.658159,0.005200,0,0,-363,-356,-155.933333,-147.333333,-nan,-nan
4265900,-0.023822,-4.654767,0.004754,0,0,-362,-357,-152.400000,-148.466667,-nan,-nan
4275900,-0.026891,-5.335583,0.004287,0,0,-362,-357,-154.666667,-144.866667,-nan,-nan
4285900,-0.026861,-5.330884,0.003669,0,0,-362,-357,-165.733333,-151.533333,-nan,-nan
4295900,-0.029344,-6.084729,0.002953,0,0,-362,-357,-173.066667,-152.133333,-nan,-nan
4305900,-0.029314,-6.078625,0.002150,0,0,-360,-359,-184.000000,-160.866667,-nan,-nan
4315900,-0.030722,-6.957425,0.001097,0,0,-360,-359,-190.266667,-162.333333,-nan,-nan
4325900,-0.030693,-6.946932,-0.000284,0,0,-359,-360,-194.400000,-164.066667,-nan,-nan
4335900,-0.029835,-7.739280,-0.001811,0,0,-359,-360,-194.466667,-160.933333,-nan,-nan
4345900,-0.029836,-7.729220,-0.003136,0,0,-356,-363,-186.533333,-162.733333,-nan,-nan
4355900,-0.026497,-8.606206,-0.004426,0,0,-356,-363,-189.000000,-173.066667,-nan,-nan
4365900,-0.026497,-8.606206,-0.004426,0,0,-355,-364,-196.333333,-183.466667,-nan,-nan
4375900,-0.021310,-9.615028,-0.005809,0,0,-355,-364,-209.400000,-191.466667,-nan,-nan
4385900,-0.021364,-9.602343,-0.007479,0,0,-355,-364,-219.933333,-190.000000,-nan,-nan
4395900,-0.013741,-10.498610,-0.009452,0,0,-355,-364,-220.533333,-182.666667,-nan,-nan
4405900,-0.013846,-10.485319,-0.011202,0,0,-351,-368,-214.400000,-192.866667,-nan,-nan
4415900,-0.001253,-11.545870,-0.012501,0,0,-351,-368,-214.466667,-203.933333,-nan,-nan
4425900,-0.001361,-11.535877,-0.013817,0,0,-350,-369,-216.200000,-212.733333,-nan,-nan
4435900,0.015102,-12.671091,-0.015143,0,0,-350,-369,-221.133333,-214.666667,-nan,-nan
4445900,0.014958,-12.660417,-0.016549,0,0,-348,-371,-232.066667,-214.333333,-nan,-nan
4455900,0.032187,-13.656384,-0.017994,0,0,-348,-371,-239.800000,-219.733333,-nan,-nan
4465900,0.032017,-13.645959,-0.019367,0,0,-346,-373,-249.200000,-225.733333,-nan,-nan
4475900,0.057705,-14.927350,-0.020684,0,0,-346,-373,-256.933333,-229.066667,-nan,-nan
4506938,0.086003,-16.170935,-0.024408,0,0,-343,-376,-272.800000,-248.000000,-nan,-nan
4516938,0.118412,-17.466146,-0.025593,0,0,-343,-376,-283.666667,-256.400000,-nan,-nan
4526938,0.118170,-17.456020,-0.026927,0,0,-341,-378,-296.400000,-258.466667,-nan,-nan
4536938,0.154666,-18.774221,-0.028391,0,0,-341,-378,-296.800000,-257.733333,-nan,-nan
4546938,0.154310,-18.760986,-0.030134,0,0,-339,-380,-289.400000,-257.333333,-nan,-nan
4556938,0.193785,-20.042156,-0.031434,0,0,-339,-380,-286.000000,-265.600000,-nan,-nan
4566938,0.193512,-20.032980,-0.032642,0,0,-336,-383,-296.600000,-275.266667,-nan,-nan
4576938,0.243508,-21.526192,-0.034258,0,0,-336,-383,-309.200000,-277.800000,-nan,-nan
4586938,0.243079,-21.513094,-0.035983,0,0,-334,-385,-305.666667,-279.866667,-nan,-nan
4596938,0.293468,-22.879417,-0.037695,0,0,-334,-385,-306.800000,-284.133333,-nan,-nan
4606938,0.292930,-22.864626,-0.039644,0,0,-331,-388,-308.133333,-285.933333,-nan,-nan
4616938,0.353379,-24.347786,-0.041773,0,0,-331,-388,-314.600000,-287.333333,-nan,-nan
4626938,0.352876,-24.335281,-0.043420,0,0,-328,-391,-322.000000,-293.733333,-nan,-nan
4636938,0.424564,-25.955803,-0.044964,0,0,-328,-391,-318.333333,-301.200000,-nan,-nan
4646938,0.424085,-25.944735,-0.046422,0,0,-326,-393,-315.666667,-307.000000,-nan,-nan
4656938,0.495715,-27.465958,-0.047653,0,0,-326,-393,-326.866667,-317.400000,-nan,-nan
4666938,0.495277,-27.456434,-0.048908,0,0,-324,-395,-323.400000,-320.600000,-nan,-nan
4676938,0.570460,-28.969225,-0.050372,0,0,-324,-395,-329.466667,-319.533333,-nan,-nan
4686938,0.570067,-28.961126,-0.051439,0,0,-321,-398,-332.800000,-325.666667,-nan,-nan
4696938,0.659138,-30.673248,-0.052493,0,0,-321,-398,-337.800000,-324.466667,-nan,-nan
4706938,0.658730,-30.665188,-0.053555,0,0,-319,-400,-353.600000,-325.066667,-nan,-nan
4716938,0.741743,-32.200710,-0.054443,0,0,-319,-400,-357.533333,-335.600000,-nan,-nan
4726939,0.741413,-32.194424,-0.055271,0,0,-317,-402,-363.800000,-341.200000,-nan,-nan
4736938,0.841086,-33.984470,-0.055964,0,0,-317,-402,-369.933333,-349.200000,-nan,-nan
4746938,0.840812,-33.979393,-0.056634,0,0,-315,-404,-371.200000,-354.266667,-nan,-nan
4756938,0.944157,-35.786762,-0.057582,0,0,-315,-404,-369.333333,-355.066667,-nan,-nan
4766938,0.943845,-35.781166,-0.058320,0,0,-313,-406,-363.266667,-353.066667,-nan,-nan
4776938,1.052723,-37.633732,-0.059073,0,0,-313,-406,-374.666667,-356.533333,-nan,-nan
4786938,1.052198,-37.624569,-0.060281,0,0,-310,-409,-378.066667,-361.200000,-nan,-nan
4796938,1.166621,-39.508671,-0.061018,0,0,-310,-409,-377.000000,-365.400000,-nan,-nan
4806938,1.166044,-39.498951,-0.062299,0,0,-307,-412,-384.400000,-368.733333,-nan,-nan
4816938,1.281158,-41.330250,-0.063236,0,0,-307,-412,-379.866667,-362.200000,-nan,-nan
4826939,1.280754,-41.323673,-0.064103,0,0,-303,-416,-384.866667,-382.933333,-nan,-nan
4836938,1.413093,-43.370754,-0.064996,0,0,-303,-416,-379.933333,-386.533333,-nan,-nan
4846938,1.412843,-43.366787,-0.065520,0,0,-300,-419,-384.466667,-391.866667,-nan,-nan
4856938,1.535462,-45.225323,-0.066228,0,0,-300,-419,-377.666667,-396.200000,-nan,-nan
4866938,1.535202,-45.221279,-0.066761,0,0,-298,-421,-368.733333,-398.200000,-nan,-nan
4876938,1.661513,-47.109993,-0.066792,0,0,-298,-421,-376.466667,-395.866667,-nan,-nan
4886938,1.661699,-47.112885,-0.066411,0,0,-295,-424,-366.600000,-398.800000,-nan,-nan
4896938,1.796536,-49.153587,-0.065560,0,0,-295,-424,-352.133333,-408.466667,-nan,-nan
4906939,1.797056,-49.161877,-0.064467,0,0,-294,-425,-340.133333,-412.733333,-nan,-nan
4916938,1.925523,-51.176498,-0.062924,0,0,-294,-425,-331.733333,-412.200000,-nan,-nan
4926939,1.926788,-51.197849,-0.060108,0,0,-294,-425,-324.733333,-409.400000,-nan,-nan
4936938,2.040571,-53.145599,-0.056659,0,0,-294,-425,-312.733333,-419.933333,-nan,-nan
4946939,2.042213,-53.177021,-0.052516,0,0,-297,-422,-305.333333,-422.466667,-nan,-nan
4956938,2.136014,-55.045208,-0.047908,0,0,-297,-422,-304.200000,-427.866667,-nan,-nan
4966939,2.137686,-55.084064,-0.042788,0,0,-297,-422,-303.266667,-428.600000,-nan,-nan
4976939,2.211868,-56.953079,-0.036669,0,0,-297,-422,-294.600000,-440.200000,-nan,-nan
5012938,2.258851,-58.762440,-0.015092,0,0,-297,-422,-269.600000,-314.600000,-nan,-nan
5022939,2.278680,-60.536594,-0.007415,0,0,-297,-422,-249.066667,-333.533333,-nan,-nan
5032939,2.278754,-60.593533,0.000080,0,0,-297,-422,-252.866667,-309.666667,-nan,-nan
5042939,2.272998,-62.135338,0.007219,0,0,-297,-422,-243.066667,-320.333333,-nan,-nan
5052939,2.284474,-62.192993,0.014792,0,0,-297,-422,-238.733333,-331.200000,-nan,-nan
5062939,2.253770,-63.850334,0.022098,0,0,-297,-422,-241.200000,-327.466667,-nan,-nan
5072939,2.271926,-63.897568,0.028254,0,0,-297,-422,-236.133333,-325.866667,-nan,-nan
5082939,2.228222,-65.300476,0.033887,0,0,-297,-422,-232.600000,-329.666667,-nan,-nan
5092939,2.277100,-65.341324,0.039026,0,0,-297,-422,-226.333333,-313.533333,-nan,-nan
5102939,2.216437,-66.806412,0.043626,0,0,-297,-422,-225.800000,-282.666667,-nan,-nan
5112939,2.271691,-66.842125,0.047989,0,0,-297,-422,-216.000000,-264.933333,-nan,-nan
5122939,2.206319,-68.144608,0.052192,0,0,-297,-422,-205.866667,-259.133333,-nan,-nan
5132939,2.229739,-68.176971,0.056279,0,0,-297,-422,-200.866667,-238.733333,-nan,-nan
5142939,2.158617,-69.398911,0.059892,0,0,-297,-422,-186.533333,-218.733333,-nan,-nan
5152939,2.157027,-69.423752,0.063169,0,0,-297,-422,-175.266667,-205.400000,-nan,-nan
5162956,2.094916,-70.381882,0.066187,0,0,-297,-422,-166.066667,-195.000000,-nan,-nan
5172939,2.106355,-70.404144,0.069010,0,0,-297,-422,-157.466667,-181.066667,-nan,-nan
5182939,2.033569,-71.435585,0.071794,0,0,-297,-422,-151.333333,-175.866667,-nan,-nan
5192939,2.031935,-71.457161,0.074642,0,0,-297,-422,-137.266667,-168.066667,-nan,-nan
5202939,1.968578,-72.287384,0.077564,0,0,-297,-422,-129.066667,-168.666667,-nan,-nan
5212939,1.966770,-72.309540,0.080491,0,0,-297,-422,-119.933333,-168.133333,-nan,-nan
5222939,1.898950,-73.134201,0.083490,0,0,-297,-422,-112.000000,-150.400000,-nan,-nan
5232939,1.897381,-73.152184,0.085866,0,0,-297,-422,-97.200000,-148.533333,-nan,-nan
5242940,1.838908,-73.823235,0.087862,0,0,-297,-422,-96.533333,-136.066667,-nan,-nan
