time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
7865388,0.000007,0.002123,-0.000299,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7874951,0.000007,0.002098,-0.000295,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7884951,0.000006,0.002037,-0.000287,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7894951,0.000006,0.002041,-0.000288,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7904951,0.000006,0.002019,-0.000285,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7914951,0.000007,0.002068,-0.000291,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7924951,0.000007,0.002071,-0.000292,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7934951,0.000007,0.002081,-0.000293,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7944950,0.000007,0.002086,-0.000294,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7954952,0.000007,0.002079,-0.000293,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7964951,0.000007,0.002103,-0.000296,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7974951,0.000006,0.002045,-0.000288,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7984952,0.000007,0.002060,-0.000290,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7994950,0.000007,0.002054,-0.000290,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8004950,0.000007,0.002071,-0.000292,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
8014952,0.000007,0.002059,-0.000290,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8024951,0.000007,0.002103,-0.000296,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8034952,0.000007,0.002088,-0.000294,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8044952,0.000007,0.002081,-0.000293,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
