time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
12362646,0.000013,-0.005531,0.000394,0,0,-360,-359,0.000000,0.000000,-nan,-nan
12371930,0.000014,-0.005257,0.000358,0,0,-360,-359,0.000000,0.000000,-nan,-nan
12381929,0.000014,-0.005258,0.000358,0,0,-360,-359,0.000000,0.000000,-nan,-nan
12391929,0.000015,-0.004841,0.000303,0,0,-360,-359,-3.200000,-49.133333,-nan,-nan
12401929,0.000016,-0.004669,0.000280,0,0,-360,-359,-42.800000,-34.133333,-nan,-nan
12411929,0.000015,-0.004851,0.000304,0,0,-360,-359,-21.533333,-32.200000,-nan,-nan
12421929,0.000015,-0.004908,0.000312,0,0,-360,-359,-23.800000,-66.133333,-nan,-nan
12431929,0.000017,-0.004117,0.000208,0,0,-360,-359,-47.866667,-75.800000,-nan,-nan
12441929,0.000018,-0.003922,0.000182,0,0,-360,-359,-77.066667,-64.733333,-nan,-nan
12451929,0.000012,-0.006033,0.000460,0,0,-360,-359,-96.400000,-67.266667,-nan,-nan
12461929,-0.000032,-0.065527,0.000800,0,0,-360,-359,-97.333333,-75.866667,-nan,-nan
12471929,-0.000028,-0.064304,0.000639,0,0,-360,-359,-76.666667,-60.133333,-nan,-nan
12481929,-0.000086,-0.293388,-0.000025,0,0,-360,-359,-58.466667,-53.066667,-nan,-nan
12491929,-0.000076,-0.288493,-0.000669,0,0,-360,-359,-47.066667,-36.133333,-nan,-nan
12501929,0.000320,-0.630410,-0.001557,0,0,-358,-361,-75.666667,-72.933333,-nan,-nan
12511929,0.000322,-0.621818,-0.002688,0,0,-358,-361,-101.866667,-87.933333,-nan,-nan
12521929,0.001611,-1.018903,-0.003711,0,0,-356,-363,-106.600000,-83.866667,-nan,-nan
12531929,0.001604,-1.014267,-0.004322,0,0,-356,-363,-109.066667,-87.733333,-nan,-nan
12541929,0.003712,-1.472867,-0.004833,0,0,-356,-363,-106.133333,-95.200000,-nan,-nan
12551929,0.003697,-1.467480,-0.005542,0,0,-356,-363,-108.866667,-96.666667,-nan,-nan
12561929,0.006919,-2.013434,-0.006217,0,0,-355,-364,-114.533333,-102.066667,-nan,-nan
12571929,0.006891,-2.006839,-0.007086,0,0,-355,-364,-117.600000,-103.266667,-nan,-nan
12581930,0.011456,-2.606560,-0.008079,0,0,-354,-365,-120.000000,-109.266667,-nan,-nan
12591929,0.011407,-2.598687,-0.009115,0,0,-354,-365,-131.800000,-122.800000,-nan,-nan
12601930,0.018191,-3.300223,-0.010170,0,0,-352,-367,-149.733333,-136.466667,-nan,-nan
12611929,0.018134,-3.293413,-0.011066,0,0,-352,-367,-151.266667,-145.666667,-nan,-nan
12621929,0.026032,-3.983924,-0.011769,0,0,-351,-368,-153.000000,-149.933333,-nan,-nan
12631929,0.025984,-3.979055,-0.012410,0,0,-351,-368,-158.400000,-151.200000,-nan,-nan
12641930,0.035766,-4.747293,-0.013025,0,0,-351,-368,-164.666667,-154.933333,-nan,-nan
12651930,0.035718,-4.742891,-0.013605,0,0,-351,-368,-176.266667,-162.533333,-nan,-nan
12661930,0.046538,-5.515853,-0.014355,0,0,-350,-369,-185.066667,-162.000000,-nan,-nan
12671930,0.046467,-5.510141,-0.015107,0,0,-350,-369,-187.466667,-172.400000,-nan,-nan
12681930,0.061284,-6.466921,-0.015836,0,0,-349,-370,-193.000000,-184.266667,-nan,-nan
12691930,0.061216,-6.461977,-0.016487,0,0,-349,-370,-199.866667,-187.666667,-nan,-nan
12701930,0.077455,-7.416623,-0.017494,0,0,-348,-371,-208.533333,-184.800000,-nan,-nan
12711930,0.077314,-7.407627,-0.018678,0,0,-348,-371,-218.733333,-188.200000,-nan,-nan
12721930,0.097272,-8.434405,-0.020140,0,0,-346,-373,-229.333333,-199.666667,-nan,-nan
12731930,0.097056,-8.422770,-0.021672,0,0,-346,-373,-233.866667,-202.333333,-nan,-nan
12741930,0.122613,-9.555587,-0.023387,0,0,-343,-376,-241.733333,-207.066667,-nan,-nan
12751930,0.122356,-9.543770,-0.024943,0,0,-343,-376,-250.066667,-212.200000,-nan,-nan
12761930,0.151483,-10.669363,-0.026744,0,0,-341,-378,-255.066667,-217.733333,-nan,-nan
12771930,0.151098,-10.654157,-0.028746,0,0,-341,-378,-256.933333,-216.333333,-nan,-nan
12781930,0.186354,-11.833320,-0.030967,0,0,-338,-381,-265.533333,-221.666667,-nan,-nan
12791930,0.185750,-11.813136,-0.033625,0,0,-338,-381,-278.200000,-227.866667,-nan,-nan
12801930,0.226337,-12.968150,-0.036535,0,0,-334,-385,-284.133333,-233.600000,-nan,-nan
12811930,0.225561,-12.946383,-0.039402,0,0,-334,-385,-292.600000,-239.000000,-nan,-nan
12821930,0.285587,-14.408662,-0.042573,0,0,-329,-390,-292.933333,-245.933333,-nan,-nan
12831930,0.284531,-14.383457,-0.045894,0,0,-329,-390,-289.200000,-247.600000,-nan,-nan
12841930,0.351497,-15.786739,-0.049386,0,0,-324,-395,-298.466667,-252.733333,-nan,-nan
12851930,0.350135,-15.758888,-0.053057,0,0,-324,-395,-309.066667,-252.066667,-nan,-nan
12861930,0.425330,-17.130470,-0.056393,0,0,-319,-400,-318.466667,-259.066667,-nan,-nan
12871930,0.423813,-17.103325,-0.059972,0,0,-319,-400,-315.933333,-260.200000,-nan,-nan
12904968,0.620119,-20.094053,-0.070449,0,0,-309,-410,-326.600000,-290.266667,-nan,-nan
12914968,0.618720,-20.073936,-0.073104,0,0,-309,-410,-331.666667,-294.800000,-nan,-nan
12924968,0.738281,-21.676682,-0.075756,0,0,-305,-414,-347.333333,-295.800000,-nan,-nan
12934968,0.736764,-21.656422,-0.078431,0,0,-305,-414,-352.200000,-304.333333,-nan,-nan
12944967,0.865936,-23.270020,-0.081269,0,0,-301,-418,-362.200000,-308.866667,-nan,-nan
12954967,0.864010,-23.246143,-0.084422,0,0,-301,-418,-368.800000,-309.600000,-nan,-nan
12964968,1.013134,-24.976946,-0.087409,0,0,-296,-423,-372.133333,-314.933333,-nan,-nan
12974967,1.011298,-24.955761,-0.090208,0,0,-296,-423,-375.933333,-321.333333,-nan,-nan
12984968,1.158900,-26.559464,-0.093282,0,0,-291,-428,-378.400000,-334.333333,-nan,-nan
12994968,1.156805,-26.536860,-0.096271,0,0,-291,-428,-379.133333,-336.400000,-nan,-nan
13004968,1.327082,-28.270981,-0.099420,0,0,-285,-434,-380.466667,-337.466667,-nan,-nan
13014968,1.324867,-28.248573,-0.102384,0,0,-285,-434,-378.600000,-337.266667,-nan,-nan
13024968,1.486004,-29.796024,-0.105068,0,0,-279,-440,-372.466667,-341.133333,-nan,-nan
13034968,1.483937,-29.776222,-0.107689,0,0,-279,-440,-372.800000,-342.600000,-nan,-nan
13044968,1.642306,-31.222502,-0.110377,0,0,-275,-444,-369.800000,-355.066667,-nan,-nan
13054968,1.640284,-31.204062,-0.112820,0,0,-275,-444,-370.333333,-361.733333,-nan,-nan
13064968,1.792511,-32.536049,-0.114714,0,0,-270,-449,-359.800000,-364.666667,-nan,-nan
13074968,1.816304,-32.522110,-0.116176,0,0,-270,-449,-353.133333,-375.133333,-nan,-nan
13084968,1.970897,-33.840408,-0.117263,0,0,-267,-452,-345.533333,-386.800000,-nan,-nan
13094968,2.033429,-33.829300,-0.117750,0,0,-267,-452,-326.800000,-388.333333,-nan,-nan
13104968,2.195658,-35.203205,-0.117330,0,0,-265,-454,-318.066667,-387.400000,-nan,-nan
13114968,2.278824,-35.201267,-0.116307,0,0,-265,-454,-313.600000,-398.533333,-nan,-nan
13124968,2.440005,-36.590210,-0.114790,0,0,-264,-455,-314.733333,-402.466667,-nan,-nan
13134968,2.505086,-36.601791,-0.112304,0,0,-264,-455,-312.666667,-405.000000,-nan,-nan
13144968,2.646230,-37.873188,-0.108916,0,0,-266,-453,-314.666667,-411.466667,-nan,-nan
13154968,2.731329,-37.897293,-0.104567,0,0,-266,-453,-312.600000,-405.600000,-nan,-nan
13164968,2.866715,-39.219982,-0.099571,0,0,-270,-449,-292.666667,-401.333333,-nan,-nan
13174968,2.965863,-39.258522,-0.093265,0,0,-270,-449,-277.733333,-413.933333,-nan,-nan
13184968,3.079517,-40.523964,-0.086086,0,0,-276,-443,-273.933333,-416.666667,-nan,-nan
13194968,3.172817,-40.579300,-0.077820,0,0,-276,-443,-257.733333,-425.333333,-nan,-nan
13204968,3.279568,-42.040314,-0.068287,0,0,-286,-433,-249.000000,-432.133333,-nan,-nan
13214968,3.404552,-42.113857,-0.057590,0,0,-286,-433,-244.733333,-443.066667,-nan,-nan
13224968,3.473140,-43.441914,-0.045924,0,0,-297,-422,-245.733333,-455.000000,-nan,-nan
13234968,3.565147,-43.530994,-0.033724,0,0,-297,-422,-236.200000,-450.066667,-nan,-nan
13244968,3.604736,-44.989681,-0.020861,0,0,-312,-407,-239.400000,-442.533333,-nan,-nan
13254968,3.701021,-45.090935,-0.007353,0,0,-312,-407,-243.266667,-437.066667,-nan,-nan
13264969,3.701174,-46.527439,0.006787,0,0,-327,-392,-250.866667,-441.266667,-nan,-nan
13274968,3.825362,-46.641811,0.021610,0,0,-327,-392,-253.733333,-458.266667,-nan,-nan
13284968,3.785103,-48.005795,0.036998,0,0,-343,-376,-255.066667,-458.000000,-nan,-nan
13294969,3.893932,-48.129440,0.052617,0,0,-343,-376,-250.133333,-454.000000,-nan,-nan
13304968,3.818890,-49.366051,0.068149,0,0,-362,-357,-246.933333,-444.600000,-nan,-nan
13314968,3.929968,-49.488747,0.083151,0,0,-362,-357,-251.066667,-445.800000,-nan,-nan
13324969,3.813215,-50.772289,0.097862,0,0,-378,-341,-244.800000,-441.400000,-nan,-nan
13334968,3.863650,-50.889034,0.112450,0,0,-378,-341,-256.000000,-453.666667,-nan,-nan
13344969,3.724253,-52.046829,0.126752,0,0,-396,-323,-268.466667,-455.333333,-nan,-nan
13354969,3.779293,-52.159992,0.140552,0,0,-396,-323,-274.000000,-445.933333,-nan,-nan
13364968,3.623222,-53.211262,0.153765,0,0,-396,-323,-281.333333,-443.933333,-nan,-nan
13374968,3.671005,-53.311829,0.165835,0,0,-396,-323,-279.200000,-418.066667,-nan,-nan
13410969,3.378541,-55.311382,0.207379,0,0,-396,-323,-146.533333,-333.666667,-nan,-nan
13420970,3.202168,-56.129875,0.216699,0,0,-396,-323,-164.000000,-322.200000,-nan,-nan
