time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
5322543,0.000007,0.001973,0.000877,0,0,-360,-359,0.000000,0.000000,-nan,-nan
5331914,0.000007,0.001985,0.000876,0,0,-360,-359,0.000000,0.000000,-nan,-nan
5341913,0.000006,0.001770,0.000904,0,0,-360,-359,0.000000,0.000000,-nan,-nan
5351913,0.000005,0.001586,0.000928,0,0,-360,-359,-3.000000,-7.466667,-nan,-nan
5361913,-0.012241,0.001687,0.000916,0,0,-360,-359,-8.866667,-24.400000,-nan,-nan
5371913,-0.012240,0.002024,0.000872,0,0,-360,-359,-23.533333,-41.133333,-nan,-nan
5381913,-0.012239,0.002340,0.000831,0,0,-360,-359,-85.333333,-83.333333,-nan,-nan
5391913,-0.012238,0.002521,0.000807,0,0,-360,-359,-99.866667,-97.866667,-nan,-nan
5401913,0.000002,0.000522,0.001068,0,0,-360,-359,-87.266667,-63.933333,-nan,-nan
5411913,-0.000014,-0.003750,0.001631,0,0,-360,-359,-78.866667,-80.466667,-nan,-nan
5421913,-0.012264,-0.004624,0.001749,0,0,-360,-359,-102.466667,-78.666667,-nan,-nan
5431913,-0.012372,-0.067685,0.001705,0,0,-360,-359,-112.800000,-93.133333,-nan,-nan
5441913,-0.012371,-0.067316,0.001656,0,0,-360,-359,-126.200000,-93.066667,-nan,-nan
5451913,-0.012961,-0.481873,0.001226,0,0,-360,-359,-134.266667,-87.200000,-nan,-nan
5461913,-0.000700,-0.477631,0.000666,0,0,-360,-359,-122.533333,-115.133333,-nan,-nan
5471913,-0.000818,-1.110442,-0.000241,0,0,-360,-359,-144.400000,-133.533333,-nan,-nan
5481913,-0.013049,-1.099779,-0.001646,0,0,-359,-360,-177.133333,-149.866667,-nan,-nan
5491913,-0.011391,-1.784478,-0.003119,0,0,-359,-360,-200.800000,-159.800000,-nan,-nan
5501913,0.000835,-1.771566,-0.004813,0,0,-358,-361,-214.333333,-163.533333,-nan,-nan
5511913,0.005993,-2.649295,-0.006858,0,0,-358,-361,-225.400000,-171.266667,-nan,-nan
5521913,0.005897,-2.632114,-0.009120,0,0,-357,-362,-238.200000,-195.600000,-nan,-nan
5531913,0.016030,-3.607612,-0.011566,0,0,-357,-362,-252.933333,-208.933333,-nan,-nan
5541913,0.015839,-3.589275,-0.013980,0,0,-356,-363,-266.200000,-221.133333,-nan,-nan
5551913,0.032476,-4.685227,-0.016302,0,0,-356,-363,-285.000000,-225.800000,-nan,-nan
5561914,0.019933,-4.665850,-0.018881,0,0,-355,-364,-292.533333,-247.933333,-nan,-nan
5571914,0.046316,-5.961252,-0.021766,0,0,-355,-364,-312.133333,-247.000000,-nan,-nan
5581913,0.045863,-5.939516,-0.024628,0,0,-353,-366,-315.200000,-269.600000,-nan,-nan
5591914,0.080580,-7.264413,-0.027683,0,0,-353,-366,-311.200000,-277.733333,-nan,-nan
5601914,0.092141,-7.238870,-0.031000,0,0,-352,-367,-336.066667,-278.466667,-nan,-nan
5611913,0.141267,-8.747215,-0.034043,0,0,-352,-367,-343.200000,-293.466667,-nan,-nan
5621914,0.140497,-8.724044,-0.037095,0,0,-350,-369,-343.266667,-312.400000,-nan,-nan
5631914,0.198370,-10.218200,-0.040256,0,0,-350,-369,-351.666667,-318.400000,-nan,-nan
5641914,0.185336,-10.198364,-0.042936,0,0,-349,-370,-353.733333,-317.733333,-nan,-nan
5651914,0.263141,-11.956975,-0.045440,0,0,-349,-370,-355.866667,-333.066667,-nan,-nan
5661914,0.262353,-11.939158,-0.047788,0,0,-347,-372,-368.733333,-343.866667,-nan,-nan
5671914,0.345638,-13.643275,-0.049837,0,0,-347,-372,-365.800000,-354.333333,-nan,-nan
5681914,0.344833,-13.626707,-0.052021,0,0,-346,-373,-379.066667,-360.600000,-nan,-nan
5691914,0.441937,-15.448583,-0.054428,0,0,-346,-373,-390.000000,-367.333333,-nan,-nan
5701914,0.441115,-15.433113,-0.056468,0,0,-345,-374,-405.600000,-378.600000,-nan,-nan
5711914,0.554686,-17.411570,-0.058183,0,0,-345,-374,-423.866667,-391.400000,-nan,-nan
5721914,0.554001,-17.399479,-0.059777,0,0,-343,-376,-425.066667,-398.733333,-nan,-nan
