time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
4761625,-0.000004,-0.001138,0.001295,12000,-12000,0,0,182.266667,-175.133333,-nan,0.000000
4770910,-0.000004,-0.001138,0.001295,12000,-12000,0,0,183.933333,-185.866667,-nan,0.000000
4780909,-0.000045,-0.010641,0.002547,12000,-12000,0,0,154.333333,-152.800000,-nan,0.000000
4790909,-0.000234,-0.038622,0.006230,12000,-12000,0,0,134.933333,-117.333333,-nan,0.000000
4800909,-0.000717,-0.080999,0.011810,12000,-12000,0,0,136.600000,-80.133333,-nan,0.000000
4810909,0.032143,0.002588,0.019044,12000,-12000,0,0,160.133333,-123.000000,-nan,0.000000
4820909,0.030432,-0.063789,0.027785,12000,-12000,0,0,174.400000,-121.800000,-nan,0.000000
4830909,0.063391,0.178331,0.037514,12000,-12000,0,0,175.533333,-91.466667,-nan,0.000000
4840909,0.059358,0.090117,0.049139,12000,-12000,0,0,170.066667,-73.466667,-nan,0.000000
4850909,0.115790,0.431436,0.063038,12000,-12000,0,0,183.133333,-95.533333,-nan,0.000000
4860909,0.107055,0.312422,0.078748,12000,-12000,0,0,221.200000,-124.600000,-nan,0.000000
4870909,0.187333,0.720629,0.095987,12000,-12000,0,0,251.933333,-138.066667,-nan,0.000000
4880909,0.172100,0.579724,0.114646,12000,-12000,0,0,256.666667,-136.333333,-nan,0.000000
4890909,0.254127,1.034371,0.134714,12000,-12000,0,0,249.600000,-115.066667,-nan,0.000000
4900909,0.230361,0.874650,0.155973,12000,-12000,0,0,268.466667,-126.600000,-nan,0.000000
4910909,0.343569,1.396511,0.178309,12000,-12000,0,0,281.066667,-140.333333,-nan,0.000000
4920909,0.310169,1.224871,0.201329,12000,-12000,0,0,294.733333,-142.466667,-nan,0.000000
4930909,0.441770,1.834854,0.225015,12000,-12000,0,0,314.133333,-155.266667,-nan,0.000000
4940909,0.397786,1.654795,0.249417,12000,-12000,0,0,334.266667,-168.733333,-nan,0.000000
4950909,0.568852,2.294262,0.274747,12000,-12000,0,0,335.200000,-165.466667,-nan,0.000000
4960909,0.511121,2.101076,0.301291,12000,-12000,0,0,349.266667,-173.733333,-nan,0.000000
4970909,0.766975,2.887223,0.329205,12000,-12000,0,0,368.266667,-155.200000,-nan,0.000000
4980909,0.690921,2.676472,0.358703,12000,-12000,0,0,377.066667,-147.733333,-nan,0.000000
4990909,1.003040,3.473059,0.389460,12000,-12000,0,0,378.000000,-169.000000,-nan,0.000000
5000909,0.907643,3.252163,0.421138,12000,-12000,0,0,381.733333,-191.000000,-nan,0.000000
5010909,1.280236,4.019566,0.453846,12000,-12000,0,0,395.533333,-177.000000,-nan,0.000000
5020909,1.163587,3.791661,0.487552,12000,-12000,0,0,403.133333,-193.466667,-nan,0.000000
5030909,1.506476,4.596622,0.522141,12000,-12000,0,0,411.000000,-229.533333,-nan,0.000000
5040909,1.369132,4.368551,0.557192,12000,-12000,0,0,422.266667,-243.933333,-nan,0.000000
5050909,1.689997,5.447975,0.592488,12000,-12000,0,0,417.200000,-190.866667,-nan,0.000000
5060910,1.528832,5.218992,0.629353,12000,-12000,0,0,431.933333,-136.666667,-nan,0.000000
5070909,1.945653,6.261968,0.668494,12000,-12000,0,0,443.466667,-171.666667,-nan,0.000000
5080909,1.746578,6.021458,0.709599,12000,-12000,0,0,437.200000,-291.533333,-nan,0.000000
5090909,2.332905,6.856878,0.752096,12000,-12000,0,0,439.200000,-325.466667,-nan,0.000000
5100909,2.100305,6.620016,0.795803,12000,-12000,0,0,465.733333,-351.266667,-nan,0.000000
5110909,2.620529,7.282561,0.839527,12000,-12000,0,0,471.200000,-374.466667,-nan,0.000000
5120910,2.362538,7.062344,0.884185,12000,-12000,0,0,452.066667,-372.600000,-nan,0.000000
5130909,2.971145,7.764307,0.930003,9950,-9950,0,0,436.266667,-340.133333,-nan,0.000000
5140910,2.673170,7.554081,0.978016,9950,-9950,0,0,414.800000,-299.600000,-nan,0.000000
5150910,3.363389,8.122780,1.027856,7159,-7159,0,0,401.800000,-212.933333,-nan,0.000000
5160910,3.026594,7.932132,1.078811,7159,-7159,0,0,424.333333,-251.333333,-nan,0.000000
5170910,3.735243,8.396518,1.129676,4477,-4477,0,0,399.400000,-300.600000,-nan,0.000000
5180910,3.383201,8.242066,1.180291,4477,-4477,0,0,371.866667,-314.333333,-nan,0.000000
5190910,4.169239,8.652642,1.230184,2144,-2144,0,0,330.333333,-274.600000,-nan,0.000000
5200910,3.810210,8.536289,1.279875,2144,-2144,0,0,311.066667,-246.333333,-nan,0.000000
5210910,4.658013,8.846963,1.328904,-117,117,0,0,262.133333,-213.600000,-nan,0.000000
5220910,4.300383,8.768707,1.377104,-117,117,0,0,266.400000,-178.666667,-nan,0.000000
5230910,5.129067,9.008727,1.423451,-2136,2136,0,0,288.533333,-178.066667,-nan,0.000000
5240910,4.800774,8.968076,1.467004,-2136,2136,0,0,276.600000,-189.333333,-nan,0.000000
5250910,5.384624,9.144872,1.507673,-3538,3538,0,0,154.733333,-110.600000,0.000000,0.000000
5260910,5.099184,9.132892,1.545286,-3538,3538,0,0,97.533333,-82.800000,0.000000,0.000000
5270910,5.675575,9.214271,1.578467,-4431,4431,0,0,93.066667,-62.333333,0.000000,0.000000
5302910,6.019507,9.362531,1.668105,-4570,4570,0,0,12.800000,-19.866667,0.000000,0.000000
5312910,5.910557,9.374221,1.682531,-4580,4580,0,0,-16.600000,3.133333,0.000000,0.000000
5322910,6.184633,9.456720,1.693776,-4580,4580,0,0,-18.400000,3.133333,0.000000,0.000000
5332910,6.125862,9.464359,1.701578,-4491,4491,0,0,-18.400000,3.133333,0.000000,0.000000
5342910,6.366304,9.547853,1.705801,-4491,4491,0,0,-18.400000,3.133333,0.000000,0.000000
5352910,6.357669,9.549052,1.706949,-3961,3961,0,0,-19.866667,7.800000,0.000000,0.000000
5362910,6.509075,9.579300,1.705281,-3961,3961,0,0,-19.866667,10.733333,0.000000,0.000000
5372910,6.536715,9.575545,1.701609,-3196,3196,0,0,-20.533333,17.066667,0.000000,0.000000
5382910,6.577961,9.595556,1.696560,-3196,3196,0,0,-20.733333,25.533333,0.000000,0.000000
5392910,6.624055,9.589761,1.690444,-2495,2495,0,0,-14.800000,50.200000,0.000000,0.000000
5402910,6.687668,9.595261,1.683822,-2495,2495,0,0,-19.933333,45.266667,0.000000,0.000000
5412910,6.737952,9.589602,1.677161,-1948,1948,0,0,-27.533333,38.066667,0.000000,0.000000
5422910,6.786775,9.584432,1.670697,-1948,1948,0,0,-30.000000,33.400000,0.000000,0.000000
5432910,6.833306,9.579801,1.664541,-1610,1610,0,0,-30.200000,32.200000,0.000000,0.000000
5442910,6.876248,9.575784,1.658863,-1610,1610,0,0,-30.733333,32.266667,0.000000,0.000000
5452910,6.915549,9.572323,1.653670,-1403,1403,0,0,-28.733333,36.600000,0.000000,0.000000
5462910,6.948677,9.569565,1.649293,-1403,1403,0,0,-24.466667,35.266667,0.000000,0.000000
5472910,6.974592,9.567510,1.645871,-1309,1309,0,0,-24.466667,31.733333,0.000000,0.000000
5482910,6.993800,9.566044,1.643335,-1309,1309,0,0,-21.266667,30.600000,0.000000,0.000000
5492910,7.006886,9.565073,1.641607,-1383,1383,0,0,-20.200000,26.133333,0.000000,0.000000
5502910,7.014466,9.564521,1.640607,-1383,1383,0,0,-20.466667,26.133333,0.000000,0.000000
5512910,7.017819,9.564280,1.640164,-1511,1511,0,0,-20.000000,24.000000,0.000000,0.000000
5522910,7.017819,9.564280,1.640164,-1511,1511,0,0,-20.000000,25.200000,0.000000,0.000000
5532910,7.015377,9.564455,1.640487,-1638,1638,0,0,-19.200000,25.200000,0.000000,0.000000
5542910,7.012071,9.564694,1.640923,-1638,1638,0,0,-19.200000,23.266667,0.000000,0.000000
5552910,7.008983,9.564919,1.641330,-1728,1728,0,0,-18.133333,23.266667,0.000000,0.000000
5562910,7.006294,9.565116,1.641685,-1728,1728,0,0,-16.066667,23.066667,0.000000,0.000000
5572910,7.004361,9.565258,1.641941,-1747,1747,0,0,-13.000000,22.066667,0.000000,0.000000
5582910,7.003725,9.565305,1.642025,-1747,1747,0,0,-15.133333,18.466667,0.000000,0.000000
5592910,7.004280,9.565264,1.641951,-1729,1729,0,0,-13.733333,17.200000,0.000000,0.000000
5602910,7.000131,9.565556,1.641740,-1729,1729,0,0,-13.000000,17.200000,0.000000,0.000000
5612910,7.001380,9.565464,1.641575,-1685,1685,0,0,-13.000000,17.000000,0.000000,0.000000
5622911,7.002184,9.565405,1.641469,-1685,1685,0,0,-10.066667,16.600000,0.000000,0.000000
5632911,7.002503,9.565382,1.641427,-1679,1679,0,0,-10.066667,15.466667,0.000000,0.000000
5642910,7.002654,9.565371,1.641407,-1679,1679,0,0,-2.533333,13.600000,0.000000,0.000000
5652911,7.002780,9.565361,1.641390,-1690,1690,0,0,-2.533333,7.733333,0.000000,0.000000
5662911,7.002844,9.565356,1.641382,-1690,1690,0,0,-2.533333,7.733333,0.000000,0.000000
5672911,7.002673,9.565369,1.641405,-1692,1692,0,0,-2.533333,3.933333,0.000000,0.000000
5682911,7.002586,9.565375,1.641416,-1692,1692,0,0,-2.533333,3.933333,0.000000,0.000000
5692911,7.002452,9.565385,1.641434,-1696,1696,0,0,0.000000,3.933333,0.000000,0.000000
5702911,7.002319,9.565394,1.641451,-1696,1696,0,0,0.000000,3.933333,0.000000,0.000000
5712911,7.002362,9.565392,1.641446,-1697,1697,0,0,0.000000,0.000000,0.000000,0.000000
5722911,7.002298,9.565396,1.641454,-1697,1697,0,0,0.000000,0.000000,0.000000,0.000000
5732911,7.002270,9.565398,1.641458,-1695,1695,0,0,0.000000,0.000000,0.000000,0.000000
5742911,7.002239,9.565400,1.641462,-1695,1695,0,0,0.000000,0.000000,0.000000,0.000000
5752911,7.002185,9.565404,1.641469,-1696,1696,0,0,0.000000,0.000000,0.000000,0.000000
5762911,7.002099,9.565411,1.641480,-1696,1696,0,0,0.000000,0.000000,0.000000,0.000000
5772911,7.001998,9.565418,1.641494,-1697,1697,0,0,0.000000,0.000000,0.000000,0.000000
5808926,7.001643,9.565444,1.641541,-1699,1699,0,0,0.000000,0.000000,0.000000,0.000000
5818911,7.001484,9.565455,1.641562,-1699,1699,0,0,0.000000,0.000000,0.000000,0.000000
5828926,7.001293,9.565470,1.641587,-1701,1701,0,0,0.000000,0.000000,0.000000,0.000000
5838911,7.001064,9.565487,1.641617,-1701,1701,0,0,0.000000,0.000000,0.000000,0.000000
5848926,7.000770,9.565509,1.641656,-1704,1704,0,0,0.000000,0.000000,0.000000,0.000000
5858911,7.000410,9.565536,1.641703,-1704,1704,0,0,0.000000,0.000000,0.000000,0.000000
5868926,7.000055,9.565561,1.641750,-1708,1708,0,0,0.000000,0.000000,0.000000,0.000000
5878911,6.999728,9.565585,1.641793,-1708,1708,0,0,0.000000,0.000000,0.000000,0.000000
5888926,6.999492,9.565602,1.641824,-1709,1709,0,0,0.000000,0.000000,0.000000,0.000000
5898911,6.999268,9.565619,1.641854,-1709,1709,0,0,0.000000,0.000000,0.000000,0.000000
5908926,6.999008,9.565638,1.641888,-1710,1710,0,0,0.000000,0.000000,0.000000,0.000000
5918911,6.998674,9.565662,1.641932,-1710,1710,0,0,0.000000,0.000000,0.000000,0.000000
5928926,6.998332,9.565687,1.641978,-1713,1713,0,0,0.000000,0.000000,0.000000,0.000000
5938911,6.998624,9.565665,1.641939,-1713,1713,0,0,0.000000,0.000000,0.000000,0.000000
5948927,6.998548,9.565671,1.641949,-1705,1705,0,0,0.000000,0.000000,0.000000,0.000000
5958911,6.998097,9.565704,1.642009,-1705,1705,0,0,0.000000,0.000000,0.000000,0.000000
5968926,6.997785,9.565727,1.642050,-1716,1716,0,0,0.000000,0.000000,0.000000,0.000000
5978911,6.997981,9.565713,1.642024,-1716,1716,0,0,0.000000,0.000000,0.000000,0.000000
5988926,6.998343,9.565686,1.641976,-1703,1703,0,0,0.000000,0.000000,0.000000,0.000000
5998911,6.998577,9.565669,1.641945,-1703,1703,0,0,0.000000,0.000000,0.000000,0.000000
6008926,6.998219,9.565696,1.641993,-1709,1709,0,0,0.000000,0.000000,0.000000,0.000000
6018911,6.998075,9.565706,1.642012,-1709,1709,0,0,0.000000,0.000000,0.000000,0.000000
6028926,6.998287,9.565691,1.641984,-1707,1707,0,0,0.000000,0.000000,0.000000,0.000000
6038911,6.998576,9.565670,1.641945,-1707,1707,0,0,0.000000,0.000000,0.000000,0.000000
6048926,6.998666,9.565663,1.641934,-1704,1704,0,0,0.000000,0.000000,0.000000,0.000000
6058911,6.998364,9.565685,1.641973,-1704,1704,0,0,0.000000,0.000000,0.000000,0.000000
6068927,6.997995,9.565712,1.642022,-1714,1714,0,0,0.000000,0.000000,0.000000,0.000000
6078911,6.997890,9.565720,1.642036,-1714,1714,0,0,0.000000,0.000000,0.000000,0.000000
6088927,6.998030,9.565709,1.642017,-1709,1709,0,0,0.000000,0.000000,0.000000,0.000000
