time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
6716215,-0.000002,-0.000436,0.001255,0,0,-360,-359,0.000000,0.000000,-nan,-nan
6725905,-0.000003,-0.000598,0.001276,0,0,-360,-359,0.000000,0.000000,-nan,-nan
6735904,-0.000002,-0.000467,0.001259,0,0,-360,-359,0.000000,0.000000,-nan,-nan
6745904,-0.000003,-0.000581,0.001274,0,0,-360,-359,-2.266667,-2.866667,-nan,-nan
6755904,-0.000003,-0.000619,0.001279,0,0,-360,-359,-7.000000,-13.533333,-nan,-nan
6765904,-0.000003,-0.000574,0.001273,0,0,-360,-359,-10.733333,-31.466667,-nan,-nan
6775904,-0.000003,-0.000696,0.001289,0,0,-360,-359,-19.266667,-65.800000,-nan,-nan
6785904,-0.000008,-0.001950,0.001454,0,0,-360,-359,-67.066667,-88.800000,-nan,-nan
6795904,0.000001,0.000444,0.001139,0,0,-360,-359,-66.866667,-74.333333,-nan,-nan
6805904,0.000015,0.004708,0.000578,0,0,-360,-359,-55.133333,-87.600000,-nan,-nan
6815904,0.000021,0.007087,0.000265,0,0,-360,-359,-82.066667,-103.200000,-nan,-nan
6825904,0.000027,-0.020728,-0.000152,0,0,-360,-359,-115.200000,-109.533333,-nan,-nan
6835904,0.000035,-0.016536,-0.000704,0,0,-359,-360,-111.133333,-106.333333,-nan,-nan
6845904,0.000425,-0.457780,-0.001034,0,0,-359,-360,-101.266667,-98.800000,-nan,-nan
6855905,0.000425,-0.457780,-0.001034,0,0,-359,-360,-114.266667,-82.000000,-nan,-nan
6865905,0.001165,-1.030405,-0.001519,0,0,-359,-360,-159.266667,-136.066667,-nan,-nan
6875905,0.001167,-1.024570,-0.002287,0,0,-359,-360,-182.600000,-168.000000,-nan,-nan
6885905,0.003190,-1.724738,-0.003431,0,0,-359,-360,-188.800000,-160.333333,-nan,-nan
6895905,0.003173,-1.715043,-0.004707,0,0,-359,-360,-176.733333,-151.266667,-nan,-nan
6905905,0.007999,-2.589233,-0.006270,0,0,-359,-360,-185.666667,-172.266667,-nan,-nan
6915905,0.007956,-2.579604,-0.007537,0,0,-358,-361,-212.066667,-195.933333,-nan,-nan
6925905,0.015414,-3.488270,-0.008827,0,0,-358,-361,-233.733333,-221.066667,-nan,-nan
6935905,0.015329,-3.476478,-0.010379,0,0,-357,-362,-251.800000,-220.333333,-nan,-nan
6945905,0.039332,-4.472373,-0.011732,0,0,-357,-362,-258.266667,-230.400000,-nan,-nan
6955905,0.039243,-4.463403,-0.012913,0,0,-357,-362,-268.200000,-257.066667,-nan,-nan
6965905,0.065964,-5.522578,-0.014368,0,0,-357,-362,-297.866667,-278.866667,-nan,-nan
6975905,0.065819,-5.511147,-0.015873,0,0,-356,-363,-312.133333,-290.400000,-nan,-nan
6985905,0.124565,-6.753943,-0.017173,0,0,-356,-363,-326.800000,-289.333333,-nan,-nan
6995905,0.124407,-6.743765,-0.018513,0,0,-355,-364,-344.533333,-300.866667,-nan,-nan
7005905,0.187261,-8.023135,-0.020001,0,0,-355,-364,-350.466667,-317.200000,-nan,-nan
7015905,0.187057,-8.011999,-0.021467,0,0,-354,-365,-352.466667,-338.400000,-nan,-nan
7025905,0.233609,-9.549978,-0.023094,0,0,-354,-365,-363.066667,-337.600000,-nan,-nan
7035905,0.233329,-9.537046,-0.024797,0,0,-353,-366,-372.733333,-330.066667,-nan,-nan
7045905,0.316289,-11.282895,-0.026442,0,0,-353,-366,-374.466667,-350.466667,-nan,-nan
7055905,0.315999,-11.271207,-0.027981,0,0,-352,-367,-379.600000,-371.733333,-nan,-nan
7065905,0.405953,-13.068321,-0.029573,0,0,-352,-367,-390.800000,-374.266667,-nan,-nan
7075905,0.405571,-13.054734,-0.031362,0,0,-351,-368,-406.266667,-378.666667,-nan,-nan
7085905,0.505722,-14.977799,-0.033013,0,0,-351,-368,-407.333333,-394.733333,-nan,-nan
7095905,0.505462,-14.969467,-0.034111,0,0,-350,-369,-405.133333,-403.866667,-nan,-nan
7105905,0.609117,-16.876961,-0.035222,0,0,-350,-369,-419.200000,-410.533333,-nan,-nan
7115905,0.608852,-16.869024,-0.036268,0,0,-349,-370,-425.000000,-420.266667,-nan,-nan
7125905,0.728724,-19.094627,-0.037075,0,0,-349,-370,-424.533333,-432.266667,-nan,-nan
