time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
7085927,0.000004,0.001107,0.000799,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7095927,0.000004,0.001229,0.000783,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7105927,0.000004,0.001228,0.000783,0,0,0,0,0.000000,0.000000,6.000000,0.000000,0,-0.000000,0.000000
7115927,0.000005,0.001574,0.000738,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7125927,0.000006,0.001914,0.000693,0,0,0,0,0.000000,0.000000,-2.000000,-4.000000,0,-0.000000,0.000000
7135927,0.000007,0.002242,0.000650,0,0,0,0,0.000000,0.000000,-2.000000,6.000000,0,-0.000000,0.000000
7145927,0.000008,0.002572,0.000606,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7169927,0.000010,0.003189,0.000525,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7179927,0.000011,0.003435,0.000493,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7189927,0.000011,0.003547,0.000478,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7199927,0.000011,0.003475,0.000488,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7209927,0.000010,0.003246,0.000518,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7219927,0.000009,0.003019,0.000548,0,0,0,0,0.000000,0.000000,4.000000,-2.000000,0,-0.000000,0.000000
7229927,0.000009,0.002788,0.000578,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7239927,0.000008,0.002563,0.000608,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7249927,0.000007,0.002330,0.000638,0,0,0,0,0.000000,0.000000,6.000000,2.000000,0,-0.000000,0.000000
7259927,0.000007,0.002104,0.000668,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7269927,0.000006,0.001878,0.000698,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7279927,0.000005,0.001617,0.000732,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
