time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
6766492,-0.000003,-0.001191,0.000138,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6775933,-0.000003,-0.001259,0.000147,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
6785933,-0.000003,-0.001186,0.000138,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6795933,-0.000003,-0.001121,0.000129,0,0,0,0,0.000000,0.000000,2.000000,4.000000,0,-0.000000,0.000000
6805933,-0.000003,-0.001147,0.000132,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
6815933,-0.000003,-0.001145,0.000132,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
6825933,-0.000003,-0.001127,0.000130,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
6835933,-0.000003,-0.001185,0.000138,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6845933,-0.000003,-0.001250,0.000146,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
6855933,-0.000003,-0.001246,0.000146,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
6865933,-0.000003,-0.001237,0.000144,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
6875933,-0.000003,-0.001188,0.000138,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6885933,-0.000003,-0.001219,0.000142,0,0,0,0,0.000000,0.000000,0.000000,-4.000000,0,-0.000000,0.000000
6895933,-0.000003,-0.001158,0.000134,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6905933,-0.000003,-0.001116,0.000129,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
6915933,-0.000003,-0.001131,0.000130,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
6925933,-0.000003,-0.001164,0.000135,0,0,0,0,0.000000,0.000000,-2.000000,-4.000000,0,-0.000000,0.000000
6935933,-0.000003,-0.001155,0.000134,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
6945933,-0.000003,-0.001151,0.000133,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6955933,-0.000003,-0.001211,0.000141,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6965933,-0.000003,-0.001210,0.000141,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
6975933,-0.000003,-0.001208,0.000141,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6985933,-0.000003,-0.001186,0.000138,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6995933,-0.000003,-0.001145,0.000132,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7005933,-0.000003,-0.001160,0.000134,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7015933,-0.000003,-0.001152,0.000133,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7025933,-0.000003,-0.001175,0.000136,0,0,0,0,0.000000,0.000000,0.000000,4.000000,0,-0.000000,0.000000
7049952,-0.000003,-0.001171,0.000136,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7059976,-0.000003,-0.001171,0.000136,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7069952,-0.000003,-0.001240,0.000145,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7079976,-0.000003,-0.001171,0.000136,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
7089953,-0.000003,-0.001195,0.000139,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
