time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
4117743,-0.000001,-0.000235,0.001160,0,0,-360,-359,0.000000,0.000000,-nan,-nan
4126942,-0.000002,-0.000547,0.001201,0,0,-360,-359,0.000000,0.000000,-nan,-nan
4136939,-0.000002,-0.000547,0.001201,0,0,-360,-359,0.000000,0.000000,-nan,-nan
4146939,-0.000002,-0.000425,0.001185,0,0,-360,-359,0.000000,0.000000,-nan,-nan
4156940,-0.000002,-0.000571,0.001204,0,0,-360,-359,-3.133333,-15.733333,-nan,-nan
4166939,-0.000001,-0.000231,0.001160,0,0,-360,-359,-20.266667,-19.866667,-nan,-nan
4176940,-0.000004,-0.001183,0.001285,0,0,-360,-359,-70.733333,-42.133333,-nan,-nan
4186939,-0.000020,-0.005217,0.001816,0,0,-360,-359,-100.866667,-63.933333,-nan,-nan
4196940,-0.000056,-0.012897,0.002827,0,0,-360,-359,-86.200000,-69.600000,-nan,-nan
4206939,-0.000099,-0.020395,0.003814,0,0,-360,-359,-66.200000,-71.000000,-nan,-nan
4216940,-0.000331,-0.071506,0.004663,0,0,-360,-359,-72.666667,-94.533333,-nan,-nan
4226940,-0.000381,-0.078232,0.005549,0,0,-360,-359,-132.333333,-103.333333,-nan,-nan
4236940,-0.002051,-0.356591,0.006346,0,0,-361,-358,-137.800000,-97.400000,-nan,-nan
4246940,-0.002073,-0.359042,0.006669,0,0,-361,-358,-138.333333,-90.600000,-nan,-nan
4256939,-0.004499,-0.730348,0.006426,0,0,-361,-358,-139.600000,-121.133333,-nan,-nan
4266939,-0.004459,-0.725555,0.005795,0,0,-361,-358,-164.400000,-153.533333,-nan,-nan
4276940,-0.006500,-1.111202,0.004879,0,0,-361,-358,-177.533333,-162.666667,-nan,-nan
4286940,-0.006437,-1.101593,0.003614,0,0,-361,-358,-186.533333,-159.200000,-nan,-nan
4296940,-0.007421,-1.440510,0.002331,0,0,-360,-359,-207.000000,-173.733333,-nan,-nan
4306940,-0.007375,-1.428779,0.000786,0,0,-360,-359,-223.666667,-176.400000,-nan,-nan
4316940,-0.007284,-1.743342,-0.001143,0,0,-360,-359,-240.200000,-198.266667,-nan,-nan
4326940,-0.007281,-1.728222,-0.003133,0,0,-360,-359,-257.466667,-215.000000,-nan,-nan
4336940,-0.006003,-2.029449,-0.005111,0,0,-359,-360,-274.933333,-231.200000,-nan,-nan
4346940,0.006904,-2.013377,-0.007216,0,0,-359,-360,-288.133333,-253.466667,-nan,-nan
4356940,0.008964,-2.255728,-0.009451,0,0,-358,-361,-295.066667,-257.733333,-nan,-nan
4366940,0.059259,-2.239444,-0.011525,0,0,-358,-361,-310.200000,-268.800000,-nan,-nan
