time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
5332954,0.000007,0.001869,0.001333,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5342952,0.000009,0.002347,0.001270,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5352951,0.000011,0.002737,0.001219,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5362952,0.000009,0.002195,0.001290,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5372951,0.000007,0.001697,0.001356,0,0,0,0,0.000000,0.000000,-nan,0.000000
5382951,0.000007,0.001875,0.001332,0,0,0,0,0.000000,0.000000,-nan,0.000000
5392952,0.000007,0.001889,0.001330,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5402951,0.000007,0.001803,0.001342,0,0,0,0,0.000000,0.000000,-nan,0.000000
5412951,0.000006,0.001483,0.001384,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5422952,0.000008,0.002036,0.001311,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5432951,0.000008,0.002099,0.001303,0,0,0,0,0.000000,0.000000,-nan,0.000000
5442951,0.000008,0.002098,0.001303,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5452951,0.000010,0.002483,0.001252,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5462951,0.000010,0.002548,0.001243,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5472951,0.000009,0.002178,0.001292,0,0,0,0,0.000000,0.000000,-nan,0.000000
5482952,0.000007,0.001719,0.001353,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5492951,0.000006,0.001441,0.001389,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5502951,0.000005,0.001278,0.001411,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5512952,0.000007,0.001722,0.001352,0,0,0,0,0.000000,0.000000,-nan,0.000000
5522951,0.000006,0.001588,0.001370,0,0,0,0,0.000000,0.000000,-nan,0.000000
5532952,0.000008,0.002100,0.001302,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5542952,0.000008,0.002041,0.001310,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5552951,0.000009,0.002298,0.001276,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5562951,0.000009,0.002256,0.001282,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5572952,0.000009,0.002399,0.001263,0,0,0,0,0.000000,0.000000,-nan,0.000000
5582951,0.000007,0.001857,0.001334,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5592952,0.000008,0.002163,0.001294,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5602952,0.000007,0.001835,0.001337,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5612952,0.000008,0.002091,0.001304,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5622952,0.000009,0.002213,0.001288,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5632952,0.000007,0.001759,0.001347,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5642952,0.000009,0.002244,0.001283,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5652952,0.000008,0.001916,0.001327,0,0,0,0,0.000000,0.000000,-nan,0.000000
5662952,0.000009,0.002286,0.001278,0,0,0,0,0.000000,0.000000,-nan,0.000000
5672952,0.000009,0.002430,0.001259,0,0,0,0,0.000000,0.000000,-nan,0.000000
5682952,0.000009,0.002360,0.001268,0,0,0,0,0.000000,0.000000,-nan,0.000000
5692952,0.000008,0.001970,0.001320,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5702952,0.000007,0.001798,0.001342,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5712952,0.000007,0.001774,0.001345,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5722952,0.000007,0.001800,0.001342,0,0,0,0,0.000000,0.000000,-nan,0.000000
5732952,0.000007,0.001802,0.001342,0,0,0,0,0.000000,0.000000,-nan,0.000000
5742952,0.000007,0.001761,0.001347,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5752952,0.000009,0.002317,0.001274,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5762952,0.000008,0.002140,0.001297,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5772952,0.000009,0.002317,0.001274,0,0,0,0,0.000000,0.000000,-nan,0.000000
5782952,0.000009,0.002339,0.001271,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5792952,0.000009,0.002176,0.001292,0,0,0,0,0.000000,0.000000,-nan,0.000000
5802952,0.000009,0.002207,0.001288,0,0,0,0,0.000000,0.000000,-nan,0.000000
5812952,0.000009,0.002379,0.001266,0,0,0,0,0.000000,0.000000,-nan,0.000000
5822952,0.000008,0.001903,0.001328,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5832952,0.000008,0.002106,0.001302,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5842952,0.000009,0.002172,0.001293,0,0,0,0,0.000000,0.000000,-nan,0.000000
5871914,0.000007,0.001705,0.001354,0,0,0,0,0.000000,0.000000,-nan,0.000000
5881914,0.000008,0.002077,0.001305,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5891914,0.000007,0.001827,0.001338,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5901914,0.000008,0.001967,0.001320,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5911914,0.000008,0.002053,0.001309,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5921914,0.000008,0.001985,0.001318,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5931914,0.000007,0.001875,0.001332,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5941915,0.000009,0.002181,0.001292,0,0,0,0,0.000000,0.000000,-nan,0.000000
5951915,0.000007,0.001661,0.001360,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5961914,0.000009,0.002201,0.001289,0,0,0,0,0.000000,0.000000,-nan,0.000000
5971914,0.000007,0.001857,0.001334,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5981914,0.000008,0.002112,0.001301,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5991915,0.000008,0.002119,0.001300,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6001915,0.000008,0.002147,0.001296,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6011915,0.000009,0.002301,0.001276,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6021915,0.000008,0.002086,0.001304,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6031914,0.000007,0.001696,0.001356,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6041915,0.000008,0.001937,0.001324,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6051915,0.000007,0.001631,0.001364,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6061915,0.000007,0.001836,0.001337,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6071915,0.000008,0.002065,0.001307,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6081915,0.000007,0.001809,0.001341,0,0,0,0,0.000000,0.000000,-nan,0.000000
6091915,0.000009,0.002230,0.001285,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6101915,0.000007,0.001888,0.001330,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6111915,0.000008,0.002078,0.001305,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6121915,0.000006,0.001596,0.001369,0,0,0,0,0.000000,0.000000,-nan,0.000000
6131915,0.000008,0.002081,0.001305,0,0,0,0,0.000000,0.000000,-nan,0.000000
6141915,0.000009,0.002253,0.001282,0,0,0,0,0.000000,0.000000,-nan,0.000000
6151915,0.000008,0.002100,0.001302,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6161915,0.000007,0.001819,0.001339,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6171915,0.000008,0.001944,0.001323,0,0,0,0,0.000000,0.000000,-nan,0.000000
6181915,0.000008,0.002103,0.001302,0,0,0,0,0.000000,0.000000,-nan,0.000000
6191915,0.000008,0.002127,0.001299,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6201915,0.000008,0.002065,0.001307,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6211915,0.000008,0.001920,0.001326,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6221915,0.000007,0.001841,0.001337,0,0,0,0,0.000000,0.000000,-nan,0.000000
6231915,0.000007,0.001727,0.001351,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6241915,0.000006,0.001449,0.001388,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6251915,0.000006,0.001602,0.001368,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6261915,0.000007,0.001802,0.001342,0,0,0,0,0.000000,0.000000,-nan,0.000000
6271915,0.000006,0.001598,0.001369,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6281915,0.000007,0.001894,0.001329,0,0,0,0,0.000000,0.000000,-nan,0.000000
6291915,0.000008,0.002087,0.001304,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6301915,0.000008,0.002002,0.001315,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6311915,0.000008,0.002002,0.001315,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6321915,0.000010,0.002547,0.001244,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6331915,0.000010,0.002628,0.001233,0,0,0,0,0.000000,0.000000,-nan,0.000000
6341915,0.000010,0.002617,0.001234,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6351915,0.000009,0.002253,0.001282,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6379916,0.000009,0.002363,0.001268,0,0,0,0,0.000000,0.000000,-nan,0.000000
6389915,0.000008,0.002163,0.001294,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6399916,0.000010,0.002512,0.001248,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6409916,0.000008,0.002068,0.001307,0,0,0,0,0.000000,0.000000,-nan,0.000000
6419915,0.000008,0.001972,0.001319,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6429916,0.000007,0.001831,0.001338,0,0,0,0,0.000000,0.000000,-nan,0.000000
6439916,0.000007,0.001841,0.001337,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6449916,0.000006,0.001478,0.001384,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6459915,0.000006,0.001536,0.001377,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6469916,0.000007,0.001869,0.001333,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6479916,0.000007,0.001892,0.001330,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6489916,0.000008,0.001942,0.001323,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6499916,0.000008,0.002099,0.001303,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6509916,0.000009,0.002371,0.001267,0,0,0,0,0.000000,0.000000,-nan,0.000000
6519916,0.000009,0.002245,0.001283,0,0,0,0,0.000000,0.000000,-nan,0.000000
6529916,0.000009,0.002392,0.001264,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6539916,0.000009,0.002341,0.001271,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6549916,0.000009,0.002273,0.001280,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6559916,0.000008,0.002118,0.001300,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6569916,0.000010,0.002642,0.001231,0,0,0,0,0.000000,0.000000,-nan,0.000000
6579916,0.000008,0.002141,0.001297,0,0,0,0,0.000000,0.000000,-nan,0.000000
6589916,0.000009,0.002242,0.001284,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6599916,0.000008,0.001998,0.001316,0,0,0,0,0.000000,0.000000,-nan,0.000000
6609916,0.000009,0.002196,0.001290,0,0,0,0,0.000000,0.000000,0.000000,0.000000
