volt,velo
-11562.0,-518.8
-11636.0,-539.0
-11661.0,-527.0
-11673.0,-533.0
-11716.0,-521.2
-11710.0,-529.8
-11802.0,-545.0
-11809.0,-554.2
-11710.0,-543.2
-11655.0,-530.2
-11661.0,-529.8
-11698.0,-532.8
-11784.0,-559.2
-11796.0,-549.0
-11291.0,-540.8
-11285.0,-516.4
-10928.0,-517.6
-10595.0,-521.8
-10743.0,-521.0
-10768.0,-518.8
-10718.0,-504.4
-10755.0,-532.4
-10841.0,-523.0
-10872.0,-509.8
-11014.0,-533.2
-11008.0,-530.4
-10897.0,-519.2
-10903.0,-506.0
-10915.0,-508.2
-11014.0,-517.8
-11002.0,-517.6
-11063.0,-527.6
-11082.0,-519.4
-11291.0,-517.2
-11685.0,-550.6
-11704.0,-541.4
-11648.0,-508.0
-11599.0,-516.0
-11581.0,-515.4
-11581.0,-519.0
-11673.0,-525.2
-11735.0,-540.0
-11728.0,-538.6
-11648.0,-532.2
-11648.0,-533.6
-11599.0,-529.4
-11655.0,-530.2
-11673.0,-531.2
-11618.0,-531.0
-11581.0,-526.8
-11605.0,-518.2
-11673.0,-538.4
-11716.0,-550.4
-11704.0,-534.4
-11180.0,-499.0
-11168.0,-498.4
-10663.0,-481.2
-10342.0,-479.0
-10342.0,-471.0
-10275.0,-451.0
-10275.0,-467.0
-10312.0,-454.6
-10361.0,-453.2
-10441.0,-467.0
-10478.0,-475.0
-10484.0,-453.8
-10472.0,-456.8
-10484.0,-457.0
-10441.0,-415.0
-10367.0,-425.6
-10410.0,-425.8
-10509.0,-469.8
-10515.0,-464.6
-10570.0,-458.8
-10601.0,-455.4
-10872.0,-479.2
-11026.0,-485.0
-11377.0,-479.6
-11384.0,-469.8
-11384.0,-502.6
-11390.0,-477.4
-11420.0,-497.4
-11482.0,-524.8
-11531.0,-529.8
-11507.0,-514.8
-11476.0,-503.4
-11457.0,-498.2
-11439.0,-496.0
-11457.0,-494.8
-11488.0,-505.2
-11488.0,-508.8
-11464.0,-511.6
-11470.0,-510.2
-11069.0,-497.2
-10848.0,-514.4
-10521.0,-491.2
-10299.0,-484.2
-10287.0,-483.8
-10238.0,-462.6
-10232.0,-447.8
-9979.0,-375.6
-10121.0,-430.6
-10275.0,-454.4
-10256.0,-443.8
-10182.0,-387.2
-9511.0,-203.4
-8741.0,-218.4
-9147.0,-256.0
-10275.0,-444.0
-10256.0,-403.0
-9517.0,-212.6
-9480.0,-298.4
-9954.0,-359.6
-10034.0,-367.2
-9991.0,-331.2
-10213.0,-398.0
-10201.0,-394.6
-10225.0,-382.6
-10299.0,-402.8
-10306.0,-407.0
-10318.0,-431.0
-10423.0,-427.8
-10478.0,-430.4
-10466.0,-423.4
-10466.0,-411.6
-10509.0,-435.2
-10644.0,-472.4
-10644.0,-449.2
-10669.0,-470.4
-10687.0,-477.2
-10694.0,-458.8
-10749.0,-482.4
-10780.0,-483.0
-10774.0,-471.6
-10804.0,-485.4
-10804.0,-480.6
-10823.0,-475.8
-10835.0,-472.6
-10860.0,-486.0
-10915.0,-517.4
-10854.0,-486.4
-10848.0,-495.0
-10885.0,-491.6
-10897.0,-495.4
-10922.0,-493.4
-10995.0,-495.6
-10915.0,-507.8
-10897.0,-488.8
-10909.0,-483.6
-10983.0,-503.0
-11008.0,-503.6
-11051.0,-526.4
-11020.0,-503.6
-10786.0,-494.8
-10614.0,-468.6
-9505.0,-465.2
-6708.0,-397.6
-4534.0,-307.6
-3998.0,-273.8
-3838.0,-284.0
-2218.0,-318.0
3111.0,-108.6
5507.0,-21.4
5310.0,-21.4
5550.0,-11.4
5488.0,-11.4
5538.0,-0.0
5649.0,16.2
6425.0,57.2
8371.0,208.0
8833.0,249.6
8852.0,196.0
9024.0,233.0
8883.0,248.6
9221.0,247.6
9369.0,282.6
9517.0,303.8
9690.0,338.4
9708.0,317.0
9837.0,351.0
8297.0,342.2
3702.0,206.4
2643.0,188.4
2242.0,166.0
2113.0,162.0
2704.0,220.0
4115.0,326.8
2218.0,281.4
-3696.0,31.4
-7860.0,-155.8
-4903.0,-109.8
-4176.0,25.4
-7737.0,-68.0
-5445.0,-63.0
-7934.0,-166.6
-8297.0,-186.0
-8051.0,-155.0
-8729.0,-223.4
-9117.0,-252.2
-9252.0,-263.6
-7109.0,-245.2
-3234.0,-110.8
-1207.0,-85.6
-850.0,-71.8
-844.0,-81.0
-1485.0,-135.0
-2606.0,-211.2
-2723.0,-203.4
-2402.0,-174.4
-1269.0,-96.6
-86.0,-57.8
2938.0,-0.0
6228.0,203.0
7343.0,54.4
5359.0,54.4
6332.0,43.8
7842.0,143.0
7959.0,125.6
5723.0,132.8
6092.0,67.0
7447.0,210.0
5766.0,196.6
622.0,111.8
80.0,18.2
18.0,18.2
31.0,9.4
99.0,6.4
511.0,16.6
733.0,63.8
727.0,64.8
721.0,50.2
480.0,41.0
31.0,41.0
6.0,41.0
6.0,43.6
6.0,43.6
-0.0,36.6
-0.0,49.6
-0.0,49.6
-0.0,-0.0
-616.0,-0.0
-3215.0,-64.6
-8575.0,-325.4
-8729.0,-127.0
-6332.0,-71.0
-7084.0,-137.6
-8981.0,-246.8
-8747.0,-170.2
-8180.0,-155.4
-8883.0,-237.4
-9419.0,-281.2
-9455.0,-275.2
-9536.0,-292.6
-9665.0,-320.6
-9794.0,-332.0
-9930.0,-352.8
-10034.0,-357.4
-10102.0,-394.0
-10176.0,-386.4
-10238.0,-391.6
-10324.0,-418.6
-10404.0,-412.0
-10453.0,-419.4
-10490.0,-441.8
-10583.0,-432.8
-10595.0,-442.0
-10589.0,-458.0
-10657.0,-453.0
-10768.0,-473.2
-10804.0,-478.4
-10798.0,-464.6
-11026.0,-474.0
-11156.0,-483.0
-11371.0,-491.2
-11408.0,-483.4
-11414.0,-494.8
-11427.0,-498.2
-11445.0,-497.2
-11470.0,-506.0
-11550.0,-508.8
-11574.0,-537.2
-11636.0,-529.0
-11568.0,-502.2
-11513.0,-507.8
-11507.0,-527.4
-11531.0,-532.6
-11605.0,-519.6
-11587.0,-525.6
-11544.0,-533.2
-11587.0,-529.4
-11568.0,-527.4
-11618.0,-514.2
-11550.0,-523.8
-11205.0,-528.0
-11014.0,-506.6
-10706.0,-488.6
-10398.0,-492.4
-10472.0,-514.6
-10490.0,-500.4
-10460.0,-483.6
-10521.0,-499.6
-10620.0,-494.0
-10614.0,-479.4
-10792.0,-489.8
-10848.0,-496.2
-10860.0,-492.4
-11112.0,-481.4
-11433.0,-523.4
-11457.0,-508.6
-11439.0,-510.4
-11482.0,-508.2
-11445.0,-502.0
-11433.0,-506.2
-11414.0,-486.8
-11433.0,-491.0
-11433.0,-502.2
-11408.0,-496.6
-11396.0,-492.2
-11396.0,-485.0
-11408.0,-487.8
-11408.0,-497.0
-11414.0,-495.6
-11384.0,-475.4
-11322.0,-480.6
-11310.0,-482.4
-11297.0,-461.6
-11377.0,-480.2
-11303.0,-485.6
-11248.0,-456.0
-11205.0,-459.4
-10989.0,-449.2
-10694.0,-411.8
-10256.0,-421.2
-9924.0,-393.8
-9991.0,-406.8
-10053.0,-394.2
-9967.0,-376.2
-9924.0,-383.2
-9998.0,-397.8
-10016.0,-396.8
-10084.0,-406.4
-10176.0,-399.4
-10262.0,-434.8
-10324.0,-444.8
-10392.0,-424.8
-10404.0,-447.2
-10386.0,-414.8
-10379.0,-406.0
-10423.0,-427.6
-10478.0,-439.8
-10527.0,-443.2
-10632.0,-464.2
-10712.0,-461.0
-10768.0,-475.0
-10786.0,-492.6
-10829.0,-478.0
-10848.0,-490.8
-10841.0,-502.8
-10878.0,-495.8
-10983.0,-501.6
-11014.0,-494.4
-11069.0,-518.6
-11094.0,-528.4
-11100.0,-526.4
-11082.0,-515.8
-11131.0,-512.2
-11100.0,-527.4
-11076.0,-520.8
-11076.0,-500.2
-11088.0,-515.0
-11131.0,-523.0
-11230.0,-524.4
-11254.0,-521.6
-11273.0,-529.0
-11291.0,-526.4
-11230.0,-525.8
-11205.0,-521.0
-11174.0,-502.6
-11236.0,-519.6
-11291.0,-545.2
-10232.0,-526.0
-8895.0,-506.2
-6240.0,-398.6
-2944.0,-287.0
3468.0,-25.8
4564.0,14.4
3363.0,-73.8
6893.0,-18.0
5809.0,-18.0
5969.0,-10.4
6092.0,-10.4
6246.0,-0.0
6345.0,15.6
7010.0,94.8
8673.0,215.2
8439.0,199.8
8593.0,199.0
8784.0,239.0
9141.0,251.2
9135.0,254.4
9197.0,242.0
9363.0,272.0
9542.0,319.0
9702.0,328.2
9763.0,319.2
9856.0,338.4
9948.0,350.2
9954.0,356.2
