volt,velo
-0.0,0.0
-3197.0,-55.8
-7805.0,-349.6
-8365.0,-145.6
-7281.0,-107.8
-6351.0,-46.6
-7811.0,-176.4
-8168.0,-186.2
-7996.0,-169.0
-8414.0,-229.0
-9160.0,-282.6
-9443.0,-271.8
-9375.0,-313.8
-9708.0,-338.8
-9825.0,-332.8
-9924.0,-353.0
-9973.0,-363.0
-10460.0,-394.4
-10650.0,-369.6
-10823.0,-412.2
-10860.0,-404.4
-10946.0,-414.8
-10983.0,-439.2
-11026.0,-430.4
-11032.0,-425.6
-11082.0,-442.4
-11069.0,-442.0
-11069.0,-413.2
-11088.0,-455.2
-11008.0,-419.8
-11020.0,-407.6
-11045.0,-455.2
-11045.0,-412.2
-11076.0,-434.6
-10792.0,-414.6
-10416.0,-406.2
-10466.0,-418.2
-10090.0,-390.6
-9714.0,-372.4
-9954.0,-387.0
-7207.0,-317.8
-5519.0,-315.8
-3949.0,-260.4
-3043.0,-206.6
-2599.0,-200.8
-2704.0,-220.8
-3665.0,-281.6
-4441.0,-282.4
-6443.0,-354.8
-9400.0,-500.0
-10139.0,-308.6
-9893.0,-307.2
-10041.0,-347.0
-10108.0,-340.6
-10041.0,-341.8
-10182.0,-376.0
-10312.0,-393.4
-10318.0,-401.8
-10349.0,-380.4
-10841.0,-434.2
-10946.0,-407.4
-11014.0,-425.8
-11045.0,-449.0
-11088.0,-432.8
-11137.0,-467.0
-11162.0,-463.2
-10743.0,-456.0
-10823.0,-470.6
-10885.0,-458.6
-10429.0,-445.0
-10250.0,-453.0
-10416.0,-446.6
-10447.0,-454.8
-10509.0,-470.0
-10570.0,-459.8
-10620.0,-455.6
-10681.0,-485.2
-10644.0,-468.0
-10681.0,-452.0
-10718.0,-474.6
-10755.0,-476.8
-10804.0,-480.2
-10804.0,-472.4
-10823.0,-506.8
-10841.0,-484.8
-10878.0,-504.0
-10885.0,-510.8
-10989.0,-500.8
-10995.0,-503.6
-11143.0,-504.8
-11347.0,-494.2
-11433.0,-533.4
-11384.0,-508.2
-11414.0,-514.0
-11488.0,-537.0
-11476.0,-528.0
-11513.0,-539.8
-11538.0,-527.8
-11507.0,-535.2
-11445.0,-520.8
-11390.0,-497.6
-11451.0,-525.4
-11414.0,-508.2
-11464.0,-527.8
-11408.0,-491.2
-11371.0,-505.8
-11359.0,-476.2
-11285.0,-463.6
-11353.0,-508.2
-11008.0,-448.6
-10632.0,-469.2
-10731.0,-475.8
-10429.0,-448.2
-10176.0,-468.0
-10336.0,-475.2
-10379.0,-452.8
-10336.0,-462.4
-10792.0,-447.8
-10527.0,-458.6
-11100.0,-475.2
-11186.0,-437.8
-11193.0,-484.4
-11137.0,-443.8
-11180.0,-463.2
-11242.0,-499.6
-11211.0,-452.0
-11242.0,-485.8
-10804.0,-492.2
-10817.0,-458.0
-10687.0,-466.8
-10201.0,-437.6
-10219.0,-440.6
-10841.0,-471.6
-10952.0,-427.2
-11106.0,-475.6
-11143.0,-447.4
-11174.0,-457.4
-11230.0,-501.2
-11199.0,-481.8
-11217.0,-448.6
-11260.0,-492.8
-11119.0,-459.8
-10706.0,-464.4
-10835.0,-474.8
-10453.0,-441.0
-10225.0,-469.8
-10250.0,-456.6
-10330.0,-458.8
-10342.0,-470.2
-10392.0,-444.2
-10515.0,-472.6
-10496.0,-462.0
-10570.0,-430.0
-10650.0,-481.0
-10601.0,-450.6
-10663.0,-449.0
-10724.0,-500.6
-10761.0,-468.8
-10792.0,-478.4
-10792.0,-480.6
-10798.0,-472.4
-10811.0,-500.2
-10817.0,-469.4
-10804.0,-459.0
-11211.0,-505.0
-11254.0,-490.2
-11310.0,-502.0
-11297.0,-508.2
-11279.0,-504.6
-11303.0,-489.4
-11303.0,-515.6
-11377.0,-522.2
-11365.0,-499.2
-11273.0,-497.0
-11242.0,-484.6
-11223.0,-473.4
-11273.0,-513.4
-11347.0,-497.2
-11384.0,-508.4
-11390.0,-515.6
-11174.0,-485.0
-10743.0,-487.0
-10989.0,-506.2
-10570.0,-465.8
-10219.0,-485.0
-10293.0,-473.4
-11026.0,-484.0
-11174.0,-466.4
-11149.0,-471.6
-11260.0,-502.0
-11266.0,-490.8
-11199.0,-459.0
-11186.0,-476.6
-11193.0,-472.4
-11174.0,-485.6
-11149.0,-440.4
-11174.0,-472.4
-10952.0,-450.2
-10386.0,-414.8
-10330.0,-453.4
-9967.0,-418.8
-10071.0,-422.6
-10096.0,-430.0
-10102.0,-418.4
-10016.0,-387.8
-10201.0,-421.0
-10244.0,-425.8
-10299.0,-403.6
-10355.0,-439.0
-10367.0,-410.6
-10466.0,-448.6
-10490.0,-432.0
-10496.0,-436.4
-10577.0,-457.8
-10601.0,-454.4
-10626.0,-456.2
-10657.0,-449.0
-10718.0,-468.2
-10694.0,-462.2
-10749.0,-471.8
-10798.0,-495.4
-9529.0,-433.2
-8821.0,-454.4
-8488.0,-462.4
-6911.0,-400.0
-5341.0,-346.8
-148.0,-168.4
1540.0,-69.4
2261.0,-69.4
2439.0,-69.4
2630.0,-71.8
1047.0,-16.8
-585.0,-40.8
-899.0,-90.4
