volt,velo
12.0,-0.0
-3289.0,-75.8
-7835.0,-348.4
-9252.0,-244.8
-8211.0,-131.4
-5217.0,-27.8
-8162.0,-214.4
-8661.0,-213.0
-8347.0,-196.0
-8858.0,-247.6
-9178.0,-294.2
-9480.0,-308.0
-9573.0,-298.6
-9757.0,-351.0
-9850.0,-340.8
-9954.0,-365.6
-10016.0,-362.2
-6277.0,-269.8
-5883.0,-284.6
-4293.0,-269.0
-3314.0,-218.8
-2655.0,-179.8
-2538.0,-198.8
-3807.0,-298.4
-4472.0,-323.2
-4392.0,-326.0
-4115.0,-283.2
-3721.0,-263.8
-3061.0,-207.0
-2526.0,-180.6
-2131.0,-159.4
-1829.0,-143.2
-1589.0,-126.2
-1509.0,-133.0
-4577.0,-239.4
-9092.0,-467.2
-10386.0,-450.2
-9905.0,-298.2
-8883.0,-176.0
-9030.0,-335.0
-10102.0,-341.6
-10429.0,-344.0
-10577.0,-358.0
-10761.0,-387.8
-10848.0,-410.2
-10885.0,-414.6
-10891.0,-425.4
-10995.0,-443.2
-10878.0,-425.2
-10570.0,-416.0
-10441.0,-424.8
-10090.0,-425.0
-10269.0,-464.2
-10312.0,-438.0
-10275.0,-453.6
-10306.0,-451.4
-10398.0,-428.8
-10416.0,-454.0
-10453.0,-455.0
-6511.0,-340.8
-4626.0,-296.2
-4121.0,-280.6
-3782.0,-263.6
-3764.0,-276.8
-4447.0,-318.6
-4743.0,-339.4
-8833.0,-468.8
-10761.0,-573.0
-11014.0,-545.8
-10244.0,-322.4
-10041.0,-338.6
-10299.0,-396.0
-10386.0,-409.8
-10398.0,-411.2
-10478.0,-455.8
-10607.0,-432.4
-10644.0,-451.8
-10650.0,-462.4
-10694.0,-462.6
-10712.0,-471.0
-10780.0,-490.0
-10835.0,-502.8
-10829.0,-490.0
-10823.0,-476.8
-10841.0,-492.4
-10866.0,-493.6
-10891.0,-496.4
-11026.0,-538.0
-11020.0,-518.8
-9573.0,-473.0
-5778.0,-376.0
-4404.0,-302.6
-4004.0,-276.2
-4078.0,-314.4
-6043.0,-457.0
-6560.0,-447.0
-6363.0,-422.6
-5950.0,-395.6
-5156.0,-340.0
-4207.0,-283.4
-3585.0,-241.6
-3160.0,-223.6
-2907.0,-214.4
-3604.0,-277.8
-4269.0,-314.6
-4189.0,-299.0
-3899.0,-275.4
-3548.0,-247.0
-2957.0,-206.0
-6080.0,-278.0
-9628.0,-386.4
-10472.0,-426.2
-10373.0,-359.6
-9819.0,-254.8
-9579.0,-306.2
-10188.0,-374.0
-10182.0,-371.0
-5821.0,-219.4
-9308.0,-439.4
-7447.0,-416.0
-4244.0,-243.0
-3209.0,-230.6
-2834.0,-194.8
-2877.0,-217.6
-3376.0,-253.6
-4041.0,-310.4
-5415.0,-337.4
-9529.0,-478.6
-10792.0,-533.4
-10484.0,-379.8
-9874.0,-269.8
-10041.0,-371.0
-6831.0,-242.4
-6074.0,-289.8
-4472.0,-273.6
-3653.0,-241.4
-3215.0,-226.4
-2901.0,-214.4
-2797.0,-205.4
-3702.0,-292.8
-4139.0,-293.0
-5248.0,-306.2
-9437.0,-474.0
-10706.0,-502.0
-10355.0,-342.8
-9862.0,-286.6
-10004.0,-335.4
-10145.0,-337.8
-10207.0,-381.0
-10306.0,-389.6
-10441.0,-433.4
-10453.0,-434.0
-10570.0,-442.4
-10601.0,-447.4
-10601.0,-449.6
-10644.0,-455.2
-10706.0,-473.8
-10768.0,-496.0
-10755.0,-474.8
-10817.0,-515.6
-10829.0,-509.4
-10835.0,-495.8
-10854.0,-503.4
-10866.0,-517.6
-7139.0,-417.6
-5427.0,-350.0
-4626.0,-310.0
-4244.0,-299.6
-4176.0,-307.0
-5587.0,-419.6
-6222.0,-434.8
-6141.0,-414.0
-5920.0,-400.0
-5556.0,-378.4
-4848.0,-318.2
-3801.0,-251.0
-2969.0,-206.4
-2624.0,-194.6
-2944.0,-226.6
-3252.0,-260.0
-3813.0,-231.8
-9203.0,-478.2
-10792.0,-585.2
-10484.0,-338.0
-9757.0,-254.4
-9948.0,-331.6
-4786.0,-204.2
-2113.0,-135.8
-1355.0,-107.8
-1195.0,-101.8
-3037.0,-276.8
-4497.0,-332.6
-4478.0,-300.8
-4183.0,-294.6
-3721.0,-256.0
-3160.0,-220.4
-2384.0,-166.4
-4189.0,-164.2
-8501.0,-384.0
-9998.0,-342.6
-9609.0,-224.2
-9135.0,-242.4
-9529.0,-322.0
-9911.0,-332.0
-9905.0,-337.0
-10053.0,-377.0
-10195.0,-389.2
-10250.0,-409.4
-10299.0,-415.8
-10342.0,-422.6
-10466.0,-456.0
-10484.0,-435.4
-10503.0,-437.6
-10607.0,-465.2
-10607.0,-456.4
-10638.0,-459.2
-10706.0,-478.6
-10737.0,-489.4
-10737.0,-488.6
-10798.0,-497.8
-10804.0,-507.4
-9443.0,-452.8
-8679.0,-455.8
-8464.0,-443.6
992.0,-127.2
1694.0,-37.4
4786.0,-52.2
5144.0,-23.6
5679.0,-23.6
5322.0,-21.2
5624.0,-21.2
5501.0,-15.2
5587.0,-9.2
5815.0,7.2
6745.0,130.0
8839.0,258.0
9536.0,309.0
9135.0,211.6
8421.0,221.2
9141.0,275.2
9369.0,268.4
9369.0,295.6
9554.0,300.0
9499.0,317.2
9492.0,333.8
4768.0,192.0
2593.0,154.8
1632.0,117.8
1047.0,90.8
1084.0,100.0
1706.0,148.6
2409.0,192.8
2550.0,174.8
2094.0,155.2
918.0,65.4
450.0,36.6
55.0,36.6
-2335.0,-57.6
-5193.0,-160.0
-5889.0,-142.4
-5901.0,-57.4
-4509.0,-43.2
-4940.0,-104.2
-6523.0,-157.2
-8784.0,-231.6
-8458.0,-173.8
-8082.0,-164.8
-8304.0,-195.8
-8593.0,-233.0
-9086.0,-268.0
-9135.0,-240.0
-9012.0,-266.4
-9295.0,-289.2
-9412.0,-289.8
-9443.0,-302.4
-5667.0,-182.0
-2790.0,-142.6
-1694.0,-120.0
-1300.0,-113.4
-1404.0,-124.4
-2113.0,-178.2
-2883.0,-229.0
-2951.0,-220.4
-2630.0,-191.4
-1910.0,-145.0
-1189.0,-100.8
1552.0,-72.6
6690.0,279.2
8575.0,151.6
6068.0,106.6
5599.0,111.8
7811.0,146.4
8390.0,214.2
8088.0,158.0
8685.0,231.0
8957.0,253.4
3456.0,149.0
1620.0,86.4
869.0,60.4
339.0,39.6
43.0,19.0
733.0,23.6
1719.0,148.8
1688.0,135.8
979.0,91.6
283.0,51.8
-1990.0,-0.0
-5944.0,-243.0
-5125.0,-220.0
-6462.0,-38.6
-5341.0,-96.0
-8162.0,-203.8
-7447.0,-160.4
-8297.0,-190.6
-8661.0,-242.2
-9215.0,-282.4
-9351.0,-278.6
-9419.0,-301.4
-9566.0,-335.0
-9640.0,-317.6
-9825.0,-373.4
-9905.0,-369.2
-9967.0,-383.6
-10034.0,-393.0
-10164.0,-401.0
-10207.0,-396.8
-6480.0,-291.8
-6092.0,-306.4
