volt,velo
0.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
-6.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
12.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
-6.0,-0.0
0.0,-0.0
0.0,-0.0
6.0,-0.0
0.0,-0.0
0.0,-0.0
456.0,-0.0
2107.0,18.8
4398.0,181.4
8451.0,217.6
5575.0,104.4
3887.0,-0.0
7589.0,191.0
8556.0,178.4
7299.0,120.6
8032.0,196.4
8784.0,241.2
8716.0,228.8
9074.0,249.4
8876.0,269.4
9419.0,288.2
9585.0,288.2
9770.0,335.4
9874.0,329.6
9954.0,356.6
10034.0,348.0
6406.0,295.2
3567.0,221.0
2772.0,198.2
2445.0,188.4
2680.0,206.6
3240.0,256.6
3610.0,266.4
3357.0,240.2
6881.0,351.6
9880.0,447.8
10010.0,246.6
9258.0,222.4
8445.0,229.6
8889.0,244.8
9289.0,259.6
9215.0,280.8
9425.0,262.8
9228.0,264.2
9542.0,293.8
9480.0,296.4
7503.0,266.2
2285.0,117.8
1306.0,101.8
918.0,84.2
801.0,71.0
844.0,79.6
1269.0,118.6
1460.0,118.6
1294.0,110.0
979.0,90.2
-1534.0,77.4
-6585.0,-288.6
-9203.0,-274.4
-9000.0,-180.0
-9117.0,-356.4
-9184.0,-224.4
-9363.0,-248.4
