volt,velo,accel,dt
-9529.0,-289.0,-14444.223,20008.0
-7115.0,-263.2,-13160.658,19999.0
-1749.0,-178.4,-8920.445,19999.0
2131.0,-19.2,-960.00006,20000.0
3807.0,32.2,1610.8054,19990.0
6850.0,72.2,3610.1804,19999.0
5864.0,39.6,1979.9999,20000.0
7367.0,123.2,6160.6157,19998.0
7669.0,149.8,7490.0,20000.0
7318.0,88.8,4440.4443,19998.0
6838.0,81.0,4050.2024,19999.0
7607.0,140.6,7030.352,19999.0
7983.0,151.8,7590.38,19999.0
7583.0,149.4,7469.9995,20000.0
8316.0,204.2,10211.0205,19998.0
8987.0,245.8,12290.614,19999.0
9338.0,261.6,13080.654,19999.0
9505.0,284.2,14210.001,20000.0
9893.0,301.0,15051.505,19998.0
10034.0,332.4,16620.0,20000.0
10041.0,315.8,15786.842,20004.0
10379.0,374.2,18710.936,19999.0
10706.0,363.8,18191.818,19998.0
10601.0,378.6,18934.734,19995.0
10306.0,398.8,19937.01,20003.0
10453.0,408.6,20436.13,19994.0
10577.0,410.0,20500.0,20000.0
9911.0,379.8,18991.898,19998.0
10275.0,386.6,19326.135,20004.0
8451.0,343.6,17184.297,19995.0
6074.0,276.6,13827.234,20004.0
5193.0,299.2,14959.253,20001.0
3339.0,213.2,10663.732,19993.0
2667.0,196.6,9830.492,19999.0
2304.0,176.2,8810.44,19999.0
2076.0,161.4,8069.9995,20000.0
1860.0,150.2,7510.3755,19999.0
1873.0,155.2,7760.776,19998.0
2014.0,162.8,8140.407,19999.0
1805.0,146.6,7330.0005,20000.0
1608.0,128.8,6440.644,19998.0
1275.0,110.6,5528.6177,20005.0
-1127.0,78.6,3930.393,19998.0
-6776.0,-160.2,-8008.398,20004.0
-2871.0,-97.0,-4852.4263,19990.0
-4367.0,-14.8,-739.81506,20005.0
-2914.0,-109.6,-5482.741,19990.0
-31.0,-0.0,0.0,19999.0
74.0,-0.0,0.0,19999.0
-43.0,-0.0,0.0,19999.0
0.0,8.6,430.0215,19999.0
-450.0,-7.2,-359.8021,20011.0
413.0,-80.0,-4000.0,20000.0
