volt,velo,accel,dt
0.0,0.0,0.0,31.0
-6.0,0.0,0.0,19201.0
-6.0,0.0,0.0,19998.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19998.0
0.0,0.0,0.0,20000.0
-6.0,0.0,0.0,20000.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19998.0
0.0,0.0,0.0,20002.0
-12.0,0.0,0.0,19996.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19999.0
-6.0,0.0,0.0,20001.0
0.0,0.0,0.0,19997.0
6.0,0.0,0.0,19998.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20002.0
0.0,0.0,0.0,19996.0
-6.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19998.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19998.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
-12.0,0.0,0.0,20000.0
-6.0,0.0,0.0,19999.0
6.0,0.0,0.0,20000.0
0.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,20059.0
0.0,0.0,0.0,19939.0
0.0,0.0,0.0,19999.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20058.0
0.0,0.0,0.0,19940.0
-6.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20964.0
0.0,0.0,0.0,19998.0
0.0,0.0,0.0,19999.0
0.0,0.0,0.0,20000.0
0.0,0.0,0.0,20014.0
906.0,0.0,0.0,19996.0
4084.0,23.6,1180.5903,19990.0
8365.0,227.8,11384.877,20009.0
5649.0,134.4,6723.3613,19990.0
4029.0,0.0,0.0,19999.0
7897.0,207.2,10360.0,20000.0
9191.0,213.4,10670.533,19999.0
7490.0,105.8,5290.5293,19998.0
8390.0,204.0,10200.0,20000.0
9289.0,279.0,13951.3955,19998.0
9123.0,268.6,13430.0,20000.0
9585.0,309.8,15490.774,19999.0
9813.0,324.0,16200.81,19999.0
9837.0,310.6,15530.776,19999.0
10004.0,370.0,18500.926,19999.0
10115.0,367.6,18380.92,19999.0
10195.0,379.4,18970.95,19999.0
10281.0,387.6,19380.0,20000.0
10386.0,415.8,20792.078,19998.0
10441.0,425.0,21251.062,19999.0
10521.0,438.2,21903.43,20006.0
7287.0,367.2,18370.104,19989.0
4410.0,268.4,13420.671,19999.0
3665.0,253.4,12670.633,19999.0
3345.0,239.2,11952.828,20012.0
-474.0,158.2,7910.3955,19999.0
-4367.0,113.4,5672.8364,19990.0
-5587.0,113.4,5670.2837,19999.0
-5532.0,115.2,5760.288,19999.0
-5624.0,95.4,4770.239,19999.0
-5642.0,95.4,4770.239,19999.0
-5630.0,127.0,6350.0,20000.0
-5809.0,-13.4,-670.067,19998.0
-7989.0,-201.6,-10080.504,19999.0
-7860.0,-129.4,-6470.323,19999.0
-7466.0,-159.2,-7960.0,20000.0
-8310.0,-212.4,-10620.53,19999.0
-9160.0,-248.8,-12441.244,19998.0
-9074.0,-244.8,-12240.612,19999.0
-9474.0,-295.4,-14770.738,19999.0
-9628.0,-286.2,-14310.716,19999.0
-9646.0,-317.6,-15879.206,20001.0
-9874.0,-317.8,-15891.589,19998.0
-9954.0,-334.0,-16700.0,20000.0
-9961.0,-338.0,-16900.846,19999.0
-10071.0,-365.4,-18270.914,19999.0
-10207.0,-400.8,-20042.004,19998.0
-10244.0,-396.2,-19810.0,20000.0
