volt,velo,accel,dt
0.0,-0.0,0.0,38.0
3197.0,55.8,2645.4272,21093.0
7805.0,349.6,17482.623,19997.0
8365.0,145.6,7280.7285,19998.0
7281.0,107.8,5390.2695,19999.0
6351.0,46.6,2329.8835,20001.0
7811.0,176.4,8820.44,19999.0
8168.0,186.2,9311.862,19996.0
7996.0,169.0,8448.732,20003.0
8414.0,229.0,11450.572,19999.0
9160.0,282.6,14130.707,19999.0
9443.0,271.8,13587.282,20004.0
9375.0,313.8,15693.923,19995.0
9708.0,338.8,16942.541,19997.0
9825.0,332.8,16639.168,20001.0
9924.0,353.0,17650.0,20000.0
9973.0,363.0,18146.371,20004.0
10460.0,394.4,19725.918,19994.0
10650.0,369.6,18478.152,20002.0
10823.0,412.2,20614.123,19996.0
10860.0,404.4,20218.988,20001.0
10946.0,414.8,20743.111,19997.0
10983.0,439.2,21962.197,19998.0
11026.0,430.4,21520.0,20000.0
11032.0,425.6,21280.0,20000.0
11082.0,442.4,22121.105,19999.0
11069.0,442.0,22101.105,19999.0
11069.0,413.2,20661.033,19999.0
11088.0,455.2,22762.277,19998.0
11008.0,419.8,20861.7,20123.0
11020.0,407.6,20506.113,19877.0
11045.0,455.2,22762.277,19998.0
11045.0,412.2,20608.97,20001.0
11076.0,434.6,21725.654,20004.0
10792.0,414.6,20610.459,20116.0
10416.0,406.2,20434.652,19878.0
10466.0,418.2,20911.047,19999.0
10090.0,390.6,19531.953,19998.0
9714.0,372.4,18621.861,19998.0
9954.0,387.0,19347.098,20003.0
7207.0,317.8,15888.41,20002.0
5519.0,315.8,15793.948,19995.0
3949.0,260.4,13021.302,19998.0
3043.0,206.6,10331.55,19997.0
2599.0,200.8,10040.0,20000.0
2704.0,220.8,11038.896,20002.0
3665.0,281.6,14077.889,20003.0
4441.0,282.4,14123.53,19995.0
6443.0,354.8,17739.113,20001.0
9400.0,500.0,25006.252,19995.0
10139.0,308.6,15428.457,20002.0
9893.0,307.2,15360.769,19999.0
10041.0,347.0,17350.867,19999.0
10108.0,340.6,17030.852,19999.0
10041.0,341.8,17091.709,19998.0
10182.0,376.0,18797.18,20003.0
