,left_voltage,right_voltage,left_velo,right_velo,dt
0,0,12,0.0,-0.0,38
1,-3197,-3289,-55.799999,-75.800003,21093
2,-7805,-7835,-349.600006,-348.399994,19997
3,-8365,-9252,-145.600006,-244.800003,19998
4,-7281,-8211,-107.800003,-131.399994,19999
5,-6351,-5217,-46.599998,-27.799999,20001
6,-7811,-8162,-176.399994,-214.399994,19999
7,-8168,-8661,-186.199997,-213.0,19996
8,-7996,-8347,-169.0,-196.0,20003
9,-8414,-8858,-229.0,-247.600006,19999
10,-9160,-9178,-282.600006,-294.200012,19999
11,-9443,-9480,-271.799988,-308.0,20004
12,-9375,-9573,-313.799988,-298.600006,19995
13,-9708,-9757,-338.799988,-351.0,19997
14,-9825,-9850,-332.799988,-340.799988,20001
15,-9924,-9954,-353.0,-365.600006,20000
16,-9973,-10016,-363.0,-362.200012,20004
17,-10460,-6277,-394.399994,-269.799988,19994
18,-10650,-5883,-369.600006,-284.600006,20002
19,-10823,-4293,-412.200012,-269.0,19996
20,-10860,-3314,-404.399994,-218.800003,20001
21,-10946,-2655,-414.799988,-179.800003,19997
22,-10983,-2538,-439.200012,-198.800003,19998
23,-11026,-3807,-430.399994,-298.399994,20000
24,-11032,-4472,-425.600006,-323.200012,20000
25,-11082,-4392,-442.399994,-326.0,19999
26,-11069,-4115,-442.0,-283.200012,19999
27,-11069,-3721,-413.200012,-263.799988,19999
28,-11088,-3061,-455.200012,-207.0,19998
29,-11008,-2526,-419.799988,-180.600006,20123
30,-11020,-2131,-407.600006,-159.399994,19877
31,-11045,-1829,-455.200012,-143.199997,19998
32,-11045,-1589,-412.200012,-126.199997,20001
33,-11076,-1509,-434.600006,-133.0,20004
34,-10792,-4577,-414.600006,-239.399994,20116
35,-10416,-9092,-406.200012,-467.200012,19878
36,-10466,-10386,-418.200012,-450.200012,19999
37,-10090,-9905,-390.600006,-298.200012,19998
38,-9714,-8883,-372.399994,-176.0,19998
39,-9954,-9030,-387.0,-335.0,20003
40,-7207,-10102,-317.799988,-341.600006,20002
41,-5519,-10429,-315.799988,-344.0,19995
42,-3949,-10577,-260.399994,-358.0,19998
43,-3043,-10761,-206.600006,-387.799988,19997
44,-2599,-10848,-200.800003,-410.200012,20000
45,-2704,-10885,-220.800003,-414.600006,20002
46,-3665,-10891,-281.600006,-425.399994,20003
47,-4441,-10995,-282.399994,-443.200012,19995
48,-6443,-10878,-354.799988,-425.200012,20001
49,-9400,-10570,-500.0,-416.0,19995
50,-10139,-10441,-308.600006,-424.799988,20002
51,-9893,-10090,-307.200012,-425.0,19999
52,-10041,-10269,-347.0,-464.200012,19999
53,-10108,-10312,-340.600006,-438.0,19999
54,-10041,-10275,-341.799988,-453.600006,19998
55,-10182,-10306,-376.0,-451.399994,20003
56,-10312,-10398,-393.399994,-428.799988,19997
57,-10318,-10416,-401.799988,-454.0,19999
58,-10349,-10453,-380.399994,-455.0,20004
59,-10841,-6511,-434.200012,-340.799988,19994
60,-10946,-4626,-407.399994,-296.200012,20002
61,-11014,-4121,-425.799988,-280.600006,19997
62,-11045,-3782,-449.0,-263.600006,19997
63,-11088,-3764,-432.799988,-276.799988,20000
64,-11137,-4447,-467.0,-318.600006,20004
65,-11162,-4743,-463.200012,-339.399994,20003
66,-10743,-8833,-456.0,-468.799988,19990
67,-10823,-10761,-470.600006,-573.0,19998
68,-10885,-11014,-458.600006,-545.799988,20001
69,-10429,-10244,-445.0,-322.399994,19998
70,-10250,-10041,-453.0,-338.600006,20001
71,-10416,-10299,-446.600006,-396.0,19998
72,-10447,-10386,-454.799988,-409.799988,19996
73,-10509,-10398,-470.0,-411.200012,20001
74,-10570,-10478,-459.799988,-455.799988,19999
75,-10620,-10607,-455.600006,-432.399994,20134
76,-10681,-10644,-485.200012,-451.799988,19864
77,-10644,-10650,-468.0,-462.399994,19997
78,-10681,-10694,-452.0,-462.600006,20002
79,-10718,-10712,-474.600006,-471.0,19998
80,-10755,-10780,-476.799988,-490.0,20128
81,-10804,-10835,-480.200012,-502.799988,19871
82,-10804,-10829,-472.399994,-490.0,19997
83,-10823,-10823,-506.799988,-476.799988,20001
84,-10841,-10841,-484.799988,-492.399994,19998
85,-10878,-10866,-504.0,-493.600006,20001
86,-10885,-10891,-510.799988,-496.399994,19999
87,-10989,-11026,-500.799988,-538.0,19998
88,-10995,-11020,-503.600006,-518.799988,20004
89,-11143,-9573,-504.799988,-473.0,19999
90,-11347,-5778,-494.200012,-376.0,20000
91,-11433,-4404,-533.400024,-302.600006,19995
92,-11384,-4004,-508.200012,-276.200012,19997
93,-11414,-4078,-514.0,-314.399994,20001
94,-11488,-6043,-537.0,-457.0,19997
95,-11476,-6560,-528.0,-447.0,20000
96,-11513,-6363,-539.799988,-422.600006,20000
97,-11538,-5950,-527.799988,-395.600006,19997
98,-11507,-5156,-535.200012,-340.0,20001
99,-11445,-4207,-520.799988,-283.399994,19998
100,-11390,-3585,-497.600006,-241.600006,20000
101,-11451,-3160,-525.400024,-223.600006,20002
102,-11414,-2907,-508.200012,-214.399994,19995
103,-11464,-3604,-527.799988,-277.799988,19999
104,-11408,-4269,-491.200012,-314.600006,20001
105,-11371,-4189,-505.799988,-299.0,20000
106,-11359,-3899,-476.200012,-275.399994,20000
107,-11285,-3548,-463.600006,-247.0,19997
108,-11353,-2957,-508.200012,-206.0,20002
109,-11008,-6080,-448.600006,-278.0,19996
110,-10632,-9628,-469.200012,-386.399994,20000
111,-10731,-10472,-475.799988,-426.200012,20000
112,-10429,-10373,-448.200012,-359.600006,19996
113,-10176,-9819,-468.0,-254.800003,19999
114,-10336,-9579,-475.200012,-306.200012,20000
115,-10379,-10188,-452.799988,-374.0,20000
116,-10336,-10182,-462.399994,-371.0,20006
117,-10792,-5821,-447.799988,-219.399994,19991
118,-10527,-9308,-458.600006,-439.399994,20003
119,-11100,-7447,-475.200012,-416.0,19997
120,-11186,-4244,-437.799988,-243.0,19998
121,-11193,-3209,-484.399994,-230.600006,20130
122,-11137,-2834,-443.799988,-194.800003,19867
123,-11180,-2877,-463.200012,-217.600006,19999
124,-11242,-3376,-499.600006,-253.600006,20001
125,-11211,-4041,-452.0,-310.399994,20005
126,-11242,-5415,-485.799988,-337.399994,20927
127,-10804,-9529,-492.200012,-478.600006,19999
128,-10817,-10792,-458.0,-533.400024,19998
129,-10687,-10484,-466.799988,-379.799988,20000
130,-10201,-9874,-437.600006,-269.799988,19998
131,-10219,-10041,-440.600006,-371.0,20005
132,-10841,-6831,-471.600006,-242.399994,19995
133,-10952,-6074,-427.200012,-289.799988,20004
134,-11106,-4472,-475.600006,-273.600006,19994
135,-11143,-3653,-447.399994,-241.399994,19999
136,-11174,-3215,-457.399994,-226.399994,19999
137,-11230,-2901,-501.200012,-214.399994,19999
138,-11199,-2797,-481.799988,-205.399994,19999
139,-11217,-3702,-448.600006,-292.799988,19999
140,-11260,-4139,-492.799988,-293.0,20004
141,-11119,-5248,-459.799988,-306.200012,19994
142,-10706,-9437,-464.399994,-474.0,19999
143,-10835,-10706,-474.799988,-502.0,19999
144,-10453,-10355,-441.0,-342.799988,19999
145,-10225,-9862,-469.799988,-286.600006,20000
146,-10250,-10004,-456.600006,-335.399994,19999
147,-10330,-10145,-458.799988,-337.799988,19999
148,-10342,-10207,-470.200012,-381.0,19999
149,-10392,-10306,-444.200012,-389.600006,19999
150,-10515,-10441,-472.600006,-433.399994,20000
151,-10496,-10453,-462.0,-434.0,19998
152,-10570,-10570,-430.0,-442.399994,20000
153,-10650,-10601,-481.0,-447.399994,19998
154,-10601,-10601,-450.600006,-449.600006,20000
155,-10663,-10644,-449.0,-455.200012,19999
156,-10724,-10706,-500.600006,-473.799988,19999
157,-10761,-10768,-468.799988,-496.0,19999
158,-10792,-10755,-478.399994,-474.799988,19998
159,-10792,-10817,-480.600006,-515.599976,19999
160,-10798,-10829,-472.399994,-509.399994,20000
161,-10811,-10835,-500.200012,-495.799988,19999
162,-10817,-10854,-469.399994,-503.399994,19999
163,-10804,-10866,-459.0,-517.599976,20004
164,-11211,-7139,-505.0,-417.600006,19994
165,-11254,-5427,-490.200012,-350.0,19999
166,-11310,-4626,-502.0,-310.0,19998
167,-11297,-4244,-508.200012,-299.600006,20000
168,-11279,-4176,-504.600006,-307.0,19998
169,-11303,-5587,-489.399994,-419.600006,19999
170,-11303,-6222,-515.599976,-434.799988,20000
171,-11377,-6141,-522.200012,-414.0,19998
172,-11365,-5920,-499.200012,-400.0,20000
173,-11273,-5556,-497.0,-378.399994,19999
174,-11242,-4848,-484.600006,-318.200012,19998
175,-11223,-3801,-473.399994,-251.0,20000
176,-11273,-2969,-513.400024,-206.399994,19998
177,-11347,-2624,-497.200012,-194.600006,19999
178,-11384,-2944,-508.399994,-226.600006,20005
179,-11390,-3252,-515.599976,-260.0,19999
180,-11174,-3813,-485.0,-231.800003,19994
181,-10743,-9203,-487.0,-478.200012,19998
182,-10989,-10792,-506.200012,-585.200012,20000
183,-10570,-10484,-465.799988,-338.0,19999
184,-10219,-9757,-485.0,-254.399994,19998
185,-10293,-9948,-473.399994,-331.600006,20006
186,-11026,-4786,-484.0,-204.199997,19993
187,-11174,-2113,-466.399994,-135.800003,19999
188,-11149,-1355,-471.600006,-107.800003,20000
189,-11260,-1195,-502.0,-101.800003,19998
190,-11266,-3037,-490.799988,-276.799988,19999
191,-11199,-4497,-459.0,-332.600006,19999
192,-11186,-4478,-476.600006,-300.799988,19999
193,-11193,-4183,-472.399994,-294.600006,19999
194,-11174,-3721,-485.600006,-256.0,19999
195,-11149,-3160,-440.399994,-220.399994,19999
196,-11174,-2384,-472.399994,-166.399994,20004
197,-10952,-4189,-450.200012,-164.199997,19994
198,-10386,-8501,-414.799988,-384.0,20000
199,-10330,-9998,-453.399994,-342.600006,19999
200,-9967,-9609,-418.799988,-224.199997,19998
201,-10071,-9135,-422.600006,-242.399994,20000
202,-10096,-9529,-430.0,-322.0,19999
203,-10102,-9911,-418.399994,-332.0,19998
204,-10016,-9905,-387.799988,-337.0,20000
205,-10201,-10053,-421.0,-377.0,20000
206,-10244,-10195,-425.799988,-389.200012,20000
207,-10299,-10250,-403.600006,-409.399994,19999
208,-10355,-10299,-439.0,-415.799988,19998
209,-10367,-10342,-410.600006,-422.600006,20000
210,-10466,-10466,-448.600006,-456.0,19999
211,-10490,-10484,-432.0,-435.399994,19999
212,-10496,-10503,-436.399994,-437.600006,19998
213,-10577,-10607,-457.799988,-465.200012,20000
214,-10601,-10607,-454.399994,-456.399994,19999
215,-10626,-10638,-456.200012,-459.200012,19999
216,-10657,-10706,-449.0,-478.600006,19999
217,-10718,-10737,-468.200012,-489.399994,19999
218,-10694,-10737,-462.200012,-488.600006,19999
219,-10749,-10798,-471.799988,-497.799988,19999
220,-10798,-10804,-495.399994,-507.399994,20008
221,-9529,-9443,-433.200012,-452.799988,20000
222,-8821,-8679,-454.399994,-455.799988,19989
223,-8488,-8464,-462.399994,-443.600006,20008
224,-6911,992,-400.0,-127.199997,20000
225,-5341,1694,-346.799988,-37.400002,19998
226,-148,4786,-168.399994,-52.200001,20120
227,1540,5144,-69.400002,-23.6,19869
228,2261,5679,-69.400002,-23.6,20004
229,2439,5322,-69.400002,-21.200001,19999
230,2630,5624,-71.800003,-21.200001,19999
231,1047,5501,-16.799999,-15.2,20131
232,-585,5587,-40.799999,-9.2,19863
233,-899,5815,-90.400002,7.2,19998
234,-887,6745,-85.0,130.0,20000
235,-739,8839,-68.400002,258.0,20004
236,-2513,9536,-67.800003,309.0,19993
237,-7090,9135,-186.399994,211.600006,20000
238,-7028,8421,-73.400002,221.199997,19998
239,-6061,9141,-61.400002,275.200012,20000
240,-7829,9369,-169.399994,268.399994,19999
241,-7521,9369,-139.600006,295.600006,20000
242,-7004,9554,-140.0,300.0,19999
243,-8365,9499,-215.800003,317.200012,19998
244,-8334,9492,-205.0,333.799988,20009
245,-4293,4768,-105.800003,192.0,19998
246,-2033,2593,-118.800003,154.800003,19988
247,-1226,1632,-98.800003,117.800003,20000
248,-850,1047,-73.400002,90.800003,19999
249,-739,1084,-53.0,100.0,19999
250,-641,1706,-45.400002,148.600006,19998
251,-554,2409,-36.799999,192.800003,20000
252,-727,2550,-54.599998,174.800003,20000
253,-721,2094,-55.200001,155.199997,19999
254,-653,918,-46.599998,65.400002,19999
255,-437,450,-35.400002,36.599998,19999
256,-191,55,-21.200001,36.599998,20011
257,-2470,-2335,-38.599998,-57.599998,20000
258,-5150,-5193,-221.800003,-160.0,19989
259,-5914,-5889,-121.199997,-142.399994,20000
260,-5957,-5901,-70.599998,-57.400002,20008
261,-4275,-4509,-38.799999,-43.200001,19999
262,326,-4940,28.6,-104.199997,20000
263,5914,-6523,235.800003,-157.199997,19989
264,8821,-8784,239.0,-231.600006,20000
265,8778,-8458,249.399994,-173.800003,20000
266,7380,-8082,116.599998,-164.800003,19998
267,6388,-8304,40.599998,-195.800003,20000
268,6068,-8593,34.599998,-233.0,19998
269,7281,-9086,137.800003,-268.0,19999
270,7392,-9135,141.199997,-240.0,20000
271,7651,-9012,149.0,-266.399994,19999
