volt,velo,accel,dt
-12.0,0.0,0.0,38.0
3289.0,75.8,3593.6094,21093.0
7835.0,348.4,17422.613,19997.0
9252.0,244.8,12241.225,19998.0
8211.0,131.4,6570.328,19999.0
5217.0,27.8,1389.9304,20001.0
8162.0,214.4,10720.536,19999.0
8661.0,213.0,10652.131,19996.0
8347.0,196.0,9798.53,20003.0
8858.0,247.6,12380.619,19999.0
9178.0,294.2,14710.736,19999.0
9480.0,308.0,15396.921,20004.0
9573.0,298.6,14933.733,19995.0
9757.0,351.0,17552.633,19997.0
9850.0,340.8,17039.146,20001.0
9954.0,365.6,18280.0,20000.0
10016.0,362.2,18106.379,20004.0
6277.0,269.8,13494.048,19994.0
5883.0,284.6,14228.577,20002.0
4293.0,269.0,13452.69,19996.0
3314.0,218.8,10939.453,20001.0
2655.0,179.8,8991.349,19997.0
2538.0,198.8,9940.994,19998.0
3807.0,298.4,14920.0,20000.0
4472.0,323.2,16160.001,20000.0
4392.0,326.0,16300.815,19999.0
4115.0,283.2,14160.709,19999.0
3721.0,263.8,13190.659,19999.0
3061.0,207.0,10351.035,19998.0
2526.0,180.6,8974.806,20123.0
2131.0,159.4,8019.3184,19877.0
1829.0,143.2,7160.716,19998.0
1589.0,126.2,6309.6846,20001.0
1509.0,133.0,6648.6704,20004.0
4577.0,239.4,11900.974,20116.0
9092.0,467.2,23503.371,19878.0
10386.0,450.2,22511.127,19999.0
9905.0,298.2,14911.492,19998.0
8883.0,176.0,8800.88,19998.0
9030.0,335.0,16747.488,20003.0
10102.0,341.6,17078.293,20002.0
10429.0,344.0,17204.3,19995.0
10577.0,358.0,17901.791,19998.0
10761.0,387.8,19392.908,19997.0
10848.0,410.2,20510.0,20000.0
10885.0,414.6,20727.928,20002.0
10891.0,425.4,21266.81,20003.0
10995.0,443.2,22165.543,19995.0
10878.0,425.2,21258.938,20001.0
10570.0,416.0,20805.201,19995.0
10441.0,424.8,21237.875,20002.0
10090.0,425.0,21251.062,19999.0
10269.0,464.2,23211.162,19999.0
10312.0,438.0,21901.096,19999.0
10275.0,453.6,22682.268,19998.0
10306.0,451.4,22566.615,20003.0
10398.0,428.8,21443.217,19997.0
10416.0,454.0,22701.135,19999.0
10453.0,455.0,22745.451,20004.0
6511.0,340.8,17045.113,19994.0
4626.0,296.2,14808.52,20002.0
4121.0,280.6,14032.105,19997.0
3782.0,263.6,13181.978,19997.0
3764.0,276.8,13839.999,20000.0
4447.0,318.6,15926.815,20004.0
4743.0,339.4,16967.455,20003.0
8833.0,468.8,23451.725,19990.0
10761.0,573.0,28652.865,19998.0
11014.0,545.8,27288.635,20001.0
10244.0,322.4,16121.612,19998.0
10041.0,338.6,16929.154,20001.0
10299.0,396.0,19801.98,19998.0
10386.0,409.8,20494.098,19996.0
10398.0,411.2,20558.973,20001.0
10478.0,455.8,22791.139,19999.0
10607.0,432.4,21476.11,20134.0
10644.0,451.8,22744.664,19864.0
10650.0,462.4,23123.469,19997.0
10694.0,462.6,23127.688,20002.0
10712.0,471.0,23552.355,19998.0
10780.0,490.0,24344.197,20128.0
10835.0,502.8,25303.205,19871.0
10829.0,490.0,24503.676,19997.0
10823.0,476.8,23838.807,20001.0
10841.0,492.4,24622.463,19998.0
