,left_voltage,right_voltage,left_velo,right_velo,dt
754,-4041,-11279,-285.399994,-514.400024,19999
755,-3813,-11279,-266.600006,-511.600006,19999
756,-3573,-11291,-261.0,-498.0,20963
757,-3413,-11322,-250.199997,-513.799988,20003
758,-5224,-11285,-292.399994,-522.0,19993
759,-6776,-11180,-370.799988,-531.400024,20005
760,-8402,-11057,-437.200012,-508.0,19993
761,-10349,-10841,-345.799988,-514.400024,19999
762,-10219,-10509,-332.399994,-503.600006,20000
763,-10164,-10460,-312.600006,-511.0,19999
764,-10269,-10533,-355.600006,-503.0,19999
765,-10293,-10503,-363.200012,-478.200012,19999
766,-10336,-10484,-379.799988,-480.0,19999
767,-10416,-10601,-400.200012,-495.600006,19999
768,-10441,-10632,-409.399994,-500.399994,19999
769,-10564,-10687,-433.600006,-502.799988,20000
770,-10570,-10718,-430.799988,-508.799988,19998
771,-10583,-10712,-406.600006,-505.600006,19999
772,-10669,-10743,-460.399994,-509.0,20000
773,-10644,-10768,-413.399994,-498.200012,19999
774,-10675,-10774,-455.799988,-515.0,19999
775,-10731,-10798,-470.799988,-525.799988,19999
776,-10694,-10786,-443.200012,-503.600006,19999
777,-10761,-10798,-494.799988,-503.600006,20000
778,-10780,-10817,-494.799988,-503.200012,19998
779,-10823,-10872,-481.799988,-524.799988,19999
780,-10841,-10891,-493.399994,-519.599976,19999
781,-10854,-10989,-487.600006,-516.200012,19999
782,-10909,-11032,-510.200012,-514.799988,20000
783,-10885,-10977,-507.0,-511.399994,19998
784,-10866,-10909,-487.600006,-512.799988,19999
785,-10977,-10915,-510.399994,-493.0,20000
786,-10872,-10915,-510.600006,-513.400024,20004
787,-8673,-11180,-465.799988,-541.200012,19999
788,-8106,-11322,-490.0,-525.799988,19994
789,-6425,-11396,-424.399994,-517.200012,19999
790,-5840,-11396,-387.0,-530.799988,19999
791,-5371,-11396,-371.0,-532.799988,19999
792,-5026,-11476,-348.399994,-547.0,20000
793,-4836,-11464,-347.799988,-534.799988,19998
794,-5371,-11451,-391.0,-516.0,19999
795,-5655,-11396,-401.0,-518.799988,19999
796,-5445,-11408,-378.200012,-531.799988,19999
797,-5174,-11427,-366.0,-535.400024,20000
798,-4897,-11464,-343.799988,-539.599976,19998
799,-4564,-11501,-317.0,-534.200012,19999
800,-4281,-11433,-311.0,-518.400024,19999
801,-4041,-11427,-280.200012,-533.799988,19999
802,-3758,-11408,-263.0,-512.400024,19998
803,-3493,-11427,-252.800003,-503.399994,20000
804,-3431,-11427,-252.0,-513.400024,19998
805,-3554,-11377,-261.600006,-520.400024,20000
806,-3351,-11291,-242.600006,-502.200012,19999
807,-3080,-11279,-223.199997,-483.399994,19999
808,-2803,-11285,-212.199997,-512.0,19999
