x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
217.366653,221.725861,8.360985,10681,10731,437.600006,480.600006,21875.625000,24025.195312,57.018902,60.061455,20004
219.230286,220.625381,8.357387,10971,9597,483.799988,474.399994,24191.208984,23721.185547,61.136333,66.615387,19999
221.087753,219.574890,8.356017,11125,7127,488.200012,388.200012,24417.326172,19415.826172,60.865017,72.962341,19994
222.958008,218.547653,8.357147,11162,5211,461.600006,330.000000,21941.250000,15685.901367,57.341763,75.112007,21038
226.947144,216.328003,8.359645,11205,4521,496.600006,308.399994,24832.484375,15421.541992,61.613174,12.463752,19998
228.865829,215.257706,8.362811,11199,4127,489.399994,284.000000,24472.447266,14201.419922,60.772705,0.000000,19998
230.893936,214.194992,8.369499,11217,3887,474.600006,283.799988,23731.187500,14190.708984,58.679714,0.000000,19999
232.842865,213.155655,8.375515,11285,5365,517.599976,416.399994,25881.292969,20821.041016,63.440598,0.000000,19999
234.797607,212.208038,8.392515,11223,6141,486.799988,425.000000,24341.216797,21251.062500,60.031479,0.000000,19999
236.957535,211.122910,8.412671,11310,5994,523.400024,389.600006,26170.001953,19480.000000,63.729191,0.000000,20000
239.146957,210.091705,8.432343,11285,5224,509.200012,340.399994,25461.273438,17020.851562,62.163624,0.000000,19999
241.225662,209.146133,8.451968,11291,4293,511.000000,292.200012,25550.000000,14610.000977,62.101681,0.000000,20000
243.270386,208.206619,8.471375,11303,3850,505.200012,266.600006,25262.527344,13331.333008,61.285583,0.000000,19998
245.371094,207.355377,8.493020,11236,3591,489.600006,249.000000,24482.449219,12451.245117,60.071217,0.000000,19998
247.340424,206.423203,8.513199,11230,3289,493.200012,242.199997,24660.000000,12110.000000,60.755440,0.000000,20000
249.278641,205.510010,8.533235,11230,3006,467.399994,218.199997,23371.167969,10910.544922,57.638451,0.000000,19999
251.303879,204.591827,8.555273,11137,2840,470.000000,206.199997,23498.824219,10309.484375,58.794407,0.000000,20001
253.220779,203.711014,8.579170,11119,3326,465.399994,254.800003,23272.326172,12741.274414,58.479076,0.000000,19998
255.155228,202.882278,8.604818,11100,3579,447.600006,257.399994,22382.238281,12871.287109,56.561050,0.000000,19998
257.092712,202.019257,8.631469,11106,3425,484.600006,246.800003,24230.000000,12340.000000,61.366966,0.000000,20000
259.016235,201.152908,8.657032,11063,3185,436.600006,228.199997,21831.091797,11410.570312,55.600933,0.000000,19999
260.922913,200.292328,8.684396,11106,2901,455.200012,213.600006,22761.138672,10680.534180,57.621655,0.000000,19999
262.788300,199.427582,8.712391,11076,2501,465.600006,178.600006,23281.164062,8930.447266,59.237003,0.000000,19999
264.780273,198.376648,8.741640,11045,2076,442.399994,156.199997,22121.105469,7810.390137,56.406593,0.000000,19999
266.690369,197.414291,8.771575,11063,1780,452.399994,140.199997,22621.130859,7010.350586,57.646416,0.000000,19999
268.592407,196.456802,8.802575,11063,1485,445.000000,123.800003,22251.113281,6190.309570,56.712357,0.000000,19999
270.567444,195.457245,8.836915,11045,1324,448.200012,112.400002,22412.242188,5620.562012,57.218586,0.000000,19998
272.590149,194.483292,8.873348,11082,1306,458.799988,113.199997,22938.851562,5659.716797,58.416126,0.000000,20001
274.659180,193.295013,8.911337,11100,1429,452.000000,127.000000,22603.390625,6350.952637,57.294395,0.000000,19997
276.651917,192.194183,8.950686,11045,1343,452.200012,111.000000,22610.000000,5550.000000,57.720211,0.000000,20000
278.613281,190.962265,8.992940,11032,1140,441.399994,101.199997,22071.103516,5060.252930,56.497906,0.000000,19999
280.710999,189.770813,9.037482,11045,936,446.000000,87.000000,22302.230469,4350.435059,57.019363,0.000000,19998
282.694061,188.511307,9.082996,11020,807,424.000000,71.199997,21200.000000,3559.999756,54.452320,0.000000,20000
284.640320,187.201065,9.128009,11076,733,441.000000,50.599998,22052.205078,2530.252930,56.231117,0.000000,19998
286.629181,185.787399,9.173682,11026,388,445.200012,30.600000,22258.886719,1529.923462,57.127491,0.000000,20001
288.554138,184.348099,9.221905,11026,55,418.000000,30.600000,20903.134766,1530.229614,53.595604,0.000000,19997
290.471863,182.707855,9.271538,11051,-12,454.000000,30.600000,22701.134766,1530.076538,58.116455,0.000000,19999
292.198914,180.962326,9.321187,11008,-18,437.799988,30.400000,21890.000000,1520.000000,56.301807,0.000000,20000
293.987854,179.222702,9.371290,11014,0,420.000000,24.600000,21002.099609,1230.123047,53.967926,0.000000,19998
295.600555,177.474319,9.423137,11014,6,448.799988,24.600000,22438.876953,1229.938477,57.763157,0.000000,20001
297.276917,175.509872,9.475274,11002,6,410.600006,35.799999,20532.052734,1790.178955,52.884655,0.000000,19998
298.677704,173.525528,9.526850,11014,6,425.000000,0.000000,21251.062500,0.000000,54.729874,0.000000,19999
300.124573,171.485809,9.577872,11014,6,428.399994,0.000000,21421.070312,0.000000,55.152687,0.000000,19999
301.445282,169.421890,9.628506,10989,6,432.200012,0.000000,21611.082031,0.000000,55.735485,0.000000,19999
302.615692,167.288498,9.679464,10971,0,412.200012,0.000000,20608.970703,0.000000,53.349602,0.000000,20001
303.631836,165.112228,9.729540,10989,0,427.399994,0.000000,21373.205078,0.000000,55.179478,0.000000,19997
304.567963,162.926392,9.778550,10878,6,426.000000,0.000000,21301.064453,0.000000,55.738430,0.000000,19999
305.329712,160.578827,9.828594,10940,0,397.200012,0.000000,19860.994141,0.000000,51.621727,0.000000,19999
305.973694,158.344223,9.879285,10971,6,434.200012,0.000000,21712.171875,0.000000,56.291744,0.000000,19998
306.479126,155.984741,9.929219,10872,0,392.000000,0.000000,19598.041016,0.000000,51.383797,0.000000,20002
306.798096,153.712646,9.979651,10971,0,430.399994,0.000000,21523.228516,0.000000,55.772999,0.000000,19997
307.094543,151.332138,10.030467,10946,6,425.200012,0.000000,21255.750000,0.000000,55.300125,0.000000,20004
307.219910,148.964325,10.080107,10768,1183,402.200012,0.000000,20116.035156,0.000000,53.102795,0.000000,19994
307.164276,146.553772,10.130667,10299,6850,425.600006,256.000000,21281.064453,12800.639648,58.911720,49.034084,19999
307.109863,144.189880,10.180532,10256,9628,407.600006,345.399994,20381.019531,17270.863281,56.356831,50.138046,19999
306.846741,141.914017,10.228121,9800,9517,408.799988,190.399994,20440.000000,9520.000000,58.959316,28.903587,20000
306.206146,139.788300,10.266030,10059,7152,419.399994,89.400002,20972.097656,4470.447266,58.668964,18.494673,19998
